Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.16455696202531644,0.950354609929078,0.33,0.35,0.6681818181818182,0.10606060606060606,220,0
race,African-American,0.189873417721519,0.9722222222222222,0.3137254901960784,0.21052631578947367,0.695067264573991,0.0625,223,1
race,African-American,0.18571428571428572,0.9539473684210527,0.28217821782178215,0.35,0.7117117117117117,0.12280701754385964,222,2
race,African-American,0.14285714285714285,0.935064935064935,0.29411764705882354,0.5,0.6875,0.16666666666666666,224,3
race,African-American,0.24096385542168675,0.9407894736842105,0.3058252427184466,0.3103448275862069,0.6936170212765957,0.14285714285714285,235,4
race,Caucasian,0.25806451612903225,0.956989247311828,0.20535714285714285,0.3333333333333333,0.782258064516129,0.17391304347826086,124,0
race,Caucasian,0.24,0.9705882352941176,0.16101694915254236,0.3333333333333333,0.8267716535433071,0.15789473684210525,127,1
race,Caucasian,0.3076923076923077,0.9428571428571428,0.15384615384615385,0.42857142857142855,0.816793893129771,0.3333333333333333,131,2
race,Caucasian,0.2222222222222222,0.956989247311828,0.19090909090909092,0.4,0.7916666666666666,0.19047619047619047,120,3
race,Caucasian,0.18181818181818182,0.9696969696969697,0.2967032967032967,0.25,0.7070707070707071,0.07407407407407407,99,4
race,Hispanic,0.0,1.0,0.25,0.0,0.75,0.0,24,0
race,Hispanic,0.25,1.0,0.24,0.0,0.7777777777777778,0.0,27,1
race,Hispanic,0.25,0.9333333333333333,0.17647058823529413,0.5,0.7894736842105263,0.3333333333333333,19,2
race,Hispanic,0.0,1.0,0.20689655172413793,0.0,0.7931034482758621,0.0,29,3
race,Hispanic,0.2857142857142857,1.0,0.19230769230769232,0.0,0.8214285714285714,0.0,28,4
race,Other,0.0,0.9444444444444444,0.22727272727272727,1.0,0.7391304347826086,0.2,23,0
race,Other,0.0,0.8571428571428571,0.5384615384615384,1.0,0.42857142857142855,0.14285714285714285,14,1
race,Other,0.14285714285714285,0.9166666666666666,0.35294117647058826,0.5,0.631578947368421,0.16666666666666666,19,2
race,Other,1.0,0.9411764705882353,0.0,0.5,0.9444444444444444,inf,18,3
race,Other,0.2222222222222222,1.0,0.2692307692307692,0.0,0.75,0.0,28,4
sex,female,0.23076923076923078,0.9444444444444444,0.22727272727272727,0.4,0.7551020408163265,0.2,49,0
sex,female,0.16666666666666666,0.975,0.20408163265306123,0.3333333333333333,0.7884615384615384,0.1,52,1
sex,female,0.16666666666666666,0.95,0.20833333333333334,0.5,0.7692307692307693,0.2,52,2
sex,female,0.18181818181818182,0.96875,0.225,0.3333333333333333,0.7674418604651163,0.1111111111111111,43,3
sex,female,0.2,0.95,0.24,0.4,0.7454545454545455,0.16666666666666666,55,4
sex,male,0.16666666666666666,0.9572649572649573,0.28662420382165604,0.35714285714285715,0.7076023391812866,0.1111111111111111,342,0
sex,male,0.19626168224299065,0.9698275862068966,0.2765273311897106,0.25,0.7256637168141593,0.08139534883720931,339,1
sex,male,0.22105263157894736,0.9467213114754098,0.24262295081967214,0.38235294117647056,0.7433628318584071,0.17567567567567569,339,2
sex,male,0.16129032258064516,0.9450980392156862,0.2445141065830721,0.4827586206896552,0.735632183908046,0.1794871794871795,348,3
sex,male,0.23076923076923078,0.9587155963302753,0.3010033444816054,0.25,0.7044776119402985,0.1,335,4
