Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.9642857142857143,inf,224,0
race,African-American,,0.0,1.0,0.948051948051948,inf,231,1
race,African-American,,0.0,1.0,0.954337899543379,inf,219,2
race,African-American,,0.0,1.0,0.9478260869565217,inf,230,3
race,African-American,,0.0,1.0,0.9727272727272728,inf,220,4
race,Asian,,0.0,,1.0,,1,0
race,Asian,,0.0,,1.0,,2,1
race,Asian,,0.0,,1.0,,1,3
race,Asian,,0.0,,1.0,,1,4
race,Caucasian,,0.0,1.0,0.9833333333333333,inf,120,0
race,Caucasian,,0.0,1.0,0.9646017699115044,inf,113,1
race,Caucasian,,0.0,1.0,0.9754098360655737,inf,122,2
race,Caucasian,,0.0,1.0,0.957983193277311,inf,119,3
race,Caucasian,,0.0,1.0,0.9212598425196851,inf,127,4
race,Hispanic,,0.0,1.0,0.9696969696969697,inf,33,0
race,Hispanic,,0.0,,1.0,,27,1
race,Hispanic,,0.0,1.0,0.9615384615384616,inf,26,2
race,Hispanic,,0.0,1.0,0.9444444444444444,inf,18,3
race,Hispanic,,0.0,,1.0,,23,4
race,Native American,,0.0,,1.0,,1,0
race,Native American,,0.0,,1.0,,2,1
race,Native American,,0.0,,1.0,,1,4
race,Other,,0.0,,1.0,,12,0
race,Other,,0.0,,1.0,,16,1
race,Other,,0.0,1.0,0.9166666666666666,inf,24,2
race,Other,,0.0,1.0,0.9565217391304348,inf,23,3
race,Other,,0.0,,1.0,,18,4
sex,female,,0.0,1.0,0.9705014749262537,inf,339,0
sex,female,,0.0,1.0,0.9557522123893806,inf,339,1
sex,female,,0.0,1.0,0.9588235294117647,inf,340,2
sex,female,,0.0,1.0,0.9571428571428572,inf,350,3
sex,female,,0.0,1.0,0.9552238805970149,inf,335,4
sex,male,,0.0,1.0,0.9807692307692307,inf,52,0
sex,male,,0.0,1.0,0.9807692307692307,inf,52,1
sex,male,,0.0,1.0,0.9607843137254902,inf,51,2
sex,male,,0.0,1.0,0.9024390243902439,inf,41,3
sex,male,,0.0,1.0,0.9818181818181818,inf,55,4
