Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.05319148936170213,0.41203703703703703,0.375,0.5892857142857143,0.033707865168539325,224,0
race,African-American,0.09523809523809523,0.2602739726027397,0.5,0.7272727272727273,0.10526315789473684,231,1
race,African-American,0.07865168539325842,0.3923444976076555,0.3,0.6118721461187214,0.036585365853658534,219,2
race,African-American,0.10144927536231885,0.28440366972477066,0.4166666666666667,0.7086956521739131,0.08064516129032258,230,3
race,African-American,0.034482758620689655,0.3925233644859813,0.5,0.6045454545454545,0.03571428571428571,220,4
race,Asian,0.0,1.0,,0.0,0.0,1,0
race,Asian,0.0,0.5,,0.5,0.0,2,1
race,Asian,,0.0,,1.0,,1,3
race,Asian,,0.0,,1.0,,1,4
race,Caucasian,0.045454545454545456,0.3559322033898305,0.0,0.65,0.0,120,0
race,Caucasian,0.125,0.25688073394495414,0.0,0.7522123893805309,0.0,113,1
race,Caucasian,0.08333333333333333,0.2773109243697479,0.0,0.7295081967213115,0.0,122,2
race,Caucasian,0.06451612903225806,0.2543859649122807,0.6,0.7310924369747899,0.10344827586206896,119,3
race,Caucasian,0.16129032258064516,0.2222222222222222,0.5,0.7559055118110236,0.19230769230769232,127,4
race,Hispanic,0.09090909090909091,0.3125,0.0,0.696969696969697,0.0,33,0
race,Hispanic,0.0,0.25925925925925924,,0.7407407407407407,0.0,27,1
race,Hispanic,0.0,0.32,1.0,0.6538461538461539,0.125,26,2
race,Hispanic,0.2,0.23529411764705882,0.0,0.7777777777777778,0.0,18,3
race,Hispanic,0.0,0.34782608695652173,,0.6521739130434783,0.0,23,4
race,Native American,0.0,1.0,,0.0,0.0,1,0
race,Native American,0.0,0.5,,0.5,0.0,2,1
race,Native American,,0.0,,1.0,,1,4
race,Other,0.0,0.3333333333333333,,0.6666666666666666,0.0,12,0
race,Other,0.0,0.0625,,0.9375,0.0,16,1
race,Other,0.25,0.2727272727272727,0.0,0.75,0.0,24,2
race,Other,0.0,0.18181818181818182,1.0,0.782608695652174,0.25,23,3
race,Other,0.0,0.2222222222222222,,0.7777777777777778,0.0,18,4
sex,female,0.05,0.40425531914893614,0.3,0.5988200589970502,0.022556390977443608,339,0
sex,female,0.10112359550561797,0.24691358024691357,0.4,0.7463126843657817,0.075,339,1
sex,female,0.07936507936507936,0.3558282208588957,0.2857142857142857,0.6470588235294118,0.034482758620689655,340,2
sex,female,0.09900990099009901,0.2716417910447761,0.3333333333333333,0.7257142857142858,0.054945054945054944,350,3
sex,female,0.0603448275862069,0.340625,0.5333333333333333,0.6507462686567164,0.07339449541284404,335,4
sex,male,0.06666666666666667,0.27450980392156865,0.0,0.7307692307692307,0.0,52,0
sex,male,0.0625,0.29411764705882354,0.0,0.7115384615384616,0.0,52,1
sex,male,0.13333333333333333,0.2653061224489796,0.0,0.7450980392156863,0.0,51,2
sex,male,0.0,0.21621621621621623,1.0,0.7073170731707317,0.5,41,3
sex,male,0.07142857142857142,0.24074074074074073,0.0,0.7636363636363637,0.0,55,4
