Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.9078341013824884,inf,217,0
race,African-American,,0.0,1.0,0.9004329004329005,inf,231,1
race,African-American,,0.0,1.0,0.9078341013824884,inf,217,2
race,African-American,,0.0,1.0,0.8854625550660793,inf,227,3
race,African-American,,0.0,1.0,0.9224137931034483,inf,232,4
race,Asian,,0.0,,1.0,,2,0
race,Asian,,0.0,,1.0,,3,2
race,Caucasian,,0.0,1.0,0.8854961832061069,inf,131,0
race,Caucasian,,0.0,1.0,0.8899082568807339,inf,109,1
race,Caucasian,,0.0,1.0,0.8943089430894309,inf,123,2
race,Caucasian,,0.0,1.0,0.92,inf,125,3
race,Caucasian,,0.0,1.0,0.9292035398230089,inf,113,4
race,Hispanic,,0.0,1.0,0.9090909090909091,inf,22,0
race,Hispanic,,0.0,1.0,0.9354838709677419,inf,31,1
race,Hispanic,,0.0,,1.0,,26,2
race,Hispanic,,0.0,,1.0,,22,3
race,Hispanic,,0.0,1.0,0.9615384615384616,inf,26,4
race,Native American,,0.0,,1.0,,2,0
race,Native American,,0.0,,1.0,,1,2
race,Native American,,0.0,,1.0,,1,3
race,Other,,0.0,,1.0,,17,0
race,Other,,0.0,,1.0,,20,1
race,Other,,0.0,,1.0,,21,2
race,Other,,0.0,1.0,0.875,inf,16,3
race,Other,,0.0,1.0,0.8947368421052632,inf,19,4
sex,female,,0.0,1.0,0.899135446685879,inf,347,0
sex,female,,0.0,1.0,0.8988095238095238,inf,336,1
sex,female,,0.0,1.0,0.9144542772861357,inf,339,2
sex,female,,0.0,1.0,0.8944281524926686,inf,341,3
sex,female,,0.0,1.0,0.9264705882352942,inf,340,4
sex,male,,0.0,1.0,0.9545454545454546,inf,44,0
sex,male,,0.0,1.0,0.9454545454545454,inf,55,1
sex,male,,0.0,1.0,0.9230769230769231,inf,52,2
sex,male,,0.0,1.0,0.96,inf,50,3
sex,male,,0.0,1.0,0.92,inf,50,4
