Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.09523809523809523,0.5533980582524272,0.3333333333333333,0.4642857142857143,0.05263157894736842,224,14
race,African-American,0.13861386138613863,0.42028985507246375,0.4166666666666667,0.5800865800865801,0.11494252873563218,231,20
race,African-American,0.07476635514018691,0.5,0.6190476190476191,0.4885844748858447,0.13131313131313133,219,11
race,African-American,0.13,0.424390243902439,0.48,0.5695652173913044,0.13793103448275862,230,31
race,African-American,0.1262135922330097,0.44776119402985076,0.3157894736842105,0.5636363636363636,0.06666666666666667,220,19
race,Asian,0.0,1.0,,0.0,0.0,1,14
race,Asian,,0.0,,1.0,,2,20
race,Asian,,0.0,,1.0,,1,31
race,Asian,,0.0,,1.0,,1,19
race,Caucasian,0.06976744186046512,0.36363636363636365,0.7,0.6083333333333333,0.175,120,14
race,Caucasian,0.17647058823529413,0.27722772277227725,0.5,0.6991150442477876,0.21428571428571427,113,20
race,Caucasian,0.13157894736842105,0.29464285714285715,0.5,0.6885245901639344,0.15151515151515152,122,11
race,Caucasian,0.20689655172413793,0.21495327102803738,0.5,0.7563025210084033,0.2608695652173913,119,31
race,Caucasian,0.17857142857142858,0.20353982300884957,0.6428571428571429,0.7480314960629921,0.391304347826087,127,19
race,Hispanic,0.125,0.21875,0.0,0.7878787878787878,0.0,33,14
race,Hispanic,0.0,0.4074074074074074,,0.5925925925925926,0.0,27,20
race,Hispanic,0.2,0.3333333333333333,0.0,0.6923076923076923,0.0,26,11
race,Hispanic,0.14285714285714285,0.375,0.5,0.6111111111111112,0.16666666666666666,18,31
race,Hispanic,0.0,0.43478260869565216,,0.5652173913043478,0.0,23,19
race,Native American,,0.0,,1.0,,1,14
race,Native American,0.0,0.5,,0.5,0.0,2,20
race,Native American,0.0,1.0,,0.0,0.0,1,19
race,Other,0.3333333333333333,0.18181818181818182,0.0,0.8333333333333334,0.0,12,14
race,Other,,0.0,,1.0,,16,20
race,Other,0.1,0.42857142857142855,0.6666666666666666,0.5416666666666666,0.2222222222222222,24,11
race,Other,0.0,0.43478260869565216,,0.5652173913043478,0.0,23,31
race,Other,0.0,0.3333333333333333,,0.6666666666666666,0.0,18,19
sex,female,0.08641975308641975,0.4728434504792332,0.46153846153846156,0.528023598820059,0.08108108108108109,339,14
sex,female,0.152,0.3475409836065574,0.4411764705882353,0.6430678466076696,0.14150943396226415,339,20
sex,female,0.09868421052631579,0.4448051948051948,0.53125,0.5470588235294118,0.12408759124087591,340,11
sex,female,0.13432835820895522,0.3682539682539683,0.4857142857142857,0.62,0.14655172413793102,350,31
sex,female,0.13333333333333333,0.38613861386138615,0.4375,0.608955223880597,0.11965811965811966,335,19
sex,male,0.15789473684210525,0.3333333333333333,0.25,0.6730769230769231,0.0625,52,14
sex,male,0.045454545454545456,0.42,0.5,0.5769230769230769,0.047619047619047616,52,20
sex,male,0.07692307692307693,0.2553191489361702,0.75,0.7058823529411765,0.25,51,11
sex,male,0.16666666666666666,0.2702702702702703,0.5,0.7073170731707317,0.2,41,31
sex,male,0.0,0.24074074074074073,1.0,0.7454545454545455,0.07692307692307693,55,19
