Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.7008928571428571,inf,224,0
race,African-American,,0.0,1.0,0.7445887445887446,inf,231,1
race,African-American,,0.0,1.0,0.684931506849315,inf,219,2
race,African-American,,0.0,1.0,0.7043478260869566,inf,230,3
race,African-American,,0.0,1.0,0.7,inf,220,4
race,Asian,,,1.0,0.0,inf,1,0
race,Asian,,0.0,1.0,0.5,inf,2,1
race,Asian,,0.0,,1.0,,1,3
race,Asian,,0.0,,1.0,,1,4
race,Caucasian,,0.0,1.0,0.7333333333333333,inf,120,0
race,Caucasian,,0.0,1.0,0.7168141592920354,inf,113,1
race,Caucasian,,0.0,1.0,0.7704918032786885,inf,122,2
race,Caucasian,,0.0,1.0,0.7899159663865546,inf,119,3
race,Caucasian,,0.0,1.0,0.7480314960629921,inf,127,4
race,Hispanic,,0.0,1.0,0.8181818181818182,inf,33,0
race,Hispanic,,0.0,1.0,0.9259259259259259,inf,27,1
race,Hispanic,,0.0,1.0,0.7307692307692307,inf,26,2
race,Hispanic,,0.0,1.0,0.8333333333333334,inf,18,3
race,Hispanic,,0.0,1.0,0.6086956521739131,inf,23,4
race,Native American,,0.0,,1.0,,1,0
race,Native American,,0.0,,1.0,,2,1
race,Native American,,0.0,,1.0,,1,4
race,Other,,0.0,1.0,0.6666666666666666,inf,12,0
race,Other,,0.0,1.0,0.9375,inf,16,1
race,Other,,0.0,1.0,0.7916666666666666,inf,24,2
race,Other,,0.0,1.0,0.782608695652174,inf,23,3
race,Other,,0.0,1.0,0.4444444444444444,inf,18,4
sex,female,,0.0,1.0,0.7079646017699115,inf,339,0
sex,female,,0.0,1.0,0.7551622418879056,inf,339,1
sex,female,,0.0,1.0,0.7205882352941176,inf,340,2
sex,female,,0.0,1.0,0.74,inf,350,3
sex,female,,0.0,1.0,0.6835820895522388,inf,335,4
sex,male,,0.0,1.0,0.7884615384615384,inf,52,0
sex,male,,0.0,1.0,0.7692307692307693,inf,52,1
sex,male,,0.0,1.0,0.7254901960784313,inf,51,2
sex,male,,0.0,1.0,0.7560975609756098,inf,41,3
sex,male,,0.0,1.0,0.8,inf,55,4
