Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.25203252032520324,0.5287356321839081,0.38,0.5044642857142857,0.20652173913043478,224,0
race,African-American,0.25547445255474455,0.5795454545454546,0.36363636363636365,0.47186147186147187,0.19607843137254902,231,1
race,African-American,0.2764227642276423,0.5460122699386503,0.39285714285714285,0.4931506849315068,0.24719101123595505,219,2
race,African-American,0.34507042253521125,0.5344827586206896,0.125,0.5652173913043478,0.07526881720430108,230,3
race,African-American,0.3076923076923077,0.5294117647058824,0.2,0.5454545454545454,0.1111111111111111,220,4
race,Caucasian,0.1702127659574468,0.3939393939393939,0.6190476190476191,0.5666666666666667,0.3333333333333333,120,0
race,Caucasian,0.3958333333333333,0.34523809523809523,0.3448275862068966,0.6548672566371682,0.3448275862068966,113,1
race,Caucasian,0.24489795918367346,0.36633663366336633,0.42857142857142855,0.6229508196721312,0.24324324324324326,122,2
race,Caucasian,0.2,0.3673469387755102,0.5714285714285714,0.5966386554621849,0.3333333333333333,119,3
race,Caucasian,0.3333333333333333,0.40425531914893614,0.42424242424242425,0.5905511811023622,0.3684210526315789,127,4
race,Hispanic,0.125,0.2413793103448276,0.75,0.696969696969697,0.42857142857142855,33,0
race,Hispanic,0.08333333333333333,0.4230769230769231,0.0,0.5925925925925926,0.0,27,1
race,Hispanic,0.16666666666666666,0.45454545454545453,0.5,0.5384615384615384,0.2,26,2
race,Hispanic,0.125,0.4666666666666667,0.6666666666666666,0.5,0.2857142857142857,18,3
race,Hispanic,0.15384615384615385,0.55,0.3333333333333333,0.4782608695652174,0.09090909090909091,23,4
race,Other,0.5,0.16666666666666666,0.0,0.8571428571428571,0.0,14,0
race,Other,0.0,0.3,,0.7,0.0,20,1
race,Other,0.36363636363636365,0.3888888888888889,0.3333333333333333,0.625,0.2857142857142857,24,2
race,Other,0.25,0.45,0.25,0.5833333333333334,0.1111111111111111,24,3
race,Other,0.4,0.42857142857142855,0.3333333333333333,0.6,0.3333333333333333,20,4
sex,female,0.19047619047619047,0.3953488372093023,0.5555555555555556,0.5769230769230769,0.29411764705882354,52,0
sex,female,0.11538461538461539,0.4791666666666667,0.25,0.5384615384615384,0.043478260869565216,52,1
sex,female,0.3333333333333333,0.35,0.36363636363636365,0.6470588235294118,0.2857142857142857,51,2
sex,female,0.4,0.41379310344827586,0.3333333333333333,0.6097560975609756,0.3333333333333333,41,3
sex,female,0.18181818181818182,0.3673469387755102,0.3333333333333333,0.6363636363636364,0.1111111111111111,55,4
sex,male,0.2360248447204969,0.45387453874538747,0.4411764705882353,0.5486725663716814,0.24390243902439024,339,0
sex,male,0.2937853107344633,0.4844961240310077,0.35802469135802467,0.5457227138643068,0.232,339,1
sex,male,0.25862068965517243,0.48863636363636365,0.40789473684210525,0.5294117647058824,0.24031007751937986,340,2
sex,male,0.2887700534759358,0.4784172661870504,0.25,0.5685714285714286,0.13533834586466165,350,3
sex,male,0.324468085106383,0.5100401606425703,0.29069767441860467,0.5462686567164179,0.1968503937007874,335,4
