Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.14678899082568808,0.45365853658536587,0.15789473684210525,0.5714285714285714,0.03225806451612903,224,0
race,African-American,0.10752688172043011,0.38967136150234744,0.4444444444444444,0.6060606060606061,0.0963855421686747,231,1
race,African-American,0.17582417582417584,0.3826530612244898,0.30434782608695654,0.6255707762557078,0.09333333333333334,219,2
race,African-American,0.14953271028037382,0.43333333333333335,0.2,0.5869565217391305,0.04395604395604396,230,3
race,African-American,0.15294117647058825,0.36363636363636365,0.4090909090909091,0.6318181818181818,0.125,220,4
race,Caucasian,0.16666666666666666,0.4166666666666667,0.25,0.6,0.06666666666666667,120,0
race,Caucasian,0.2708333333333333,0.35714285714285715,0.13333333333333333,0.672566371681416,0.05714285714285714,113,1
race,Caucasian,0.14285714285714285,0.26548672566371684,0.4444444444444444,0.7213114754098361,0.13333333333333333,122,2
race,Caucasian,0.11363636363636363,0.34513274336283184,0.16666666666666666,0.6638655462184874,0.02564102564102564,119,3
race,Caucasian,0.14634146341463414,0.3017241379310345,0.45454545454545453,0.6850393700787402,0.14285714285714285,127,4
race,Hispanic,0.0,0.3939393939393939,,0.6060606060606061,0.0,33,0
race,Hispanic,0.07692307692307693,0.46153846153846156,0.0,0.5555555555555556,0.0,27,1
race,Hispanic,0.1111111111111111,0.32,0.0,0.6923076923076923,0.0,26,2
race,Hispanic,0.0,0.29411764705882354,1.0,0.6666666666666666,0.2,18,3
race,Hispanic,0.125,0.3181818181818182,0.0,0.6956521739130435,0.0,23,4
race,Other,0.2,0.3076923076923077,0.0,0.7142857142857143,0.0,14,0
race,Other,0.0,0.4,,0.6,0.0,20,1
race,Other,0.1,0.4090909090909091,0.5,0.5833333333333334,0.1111111111111111,24,2
race,Other,0.0625,0.6521739130434783,0.0,0.375,0.0,24,3
race,Other,0.3333333333333333,0.2222222222222222,0.0,0.8,0.0,20,4
sex,female,0.25,0.3333333333333333,0.2857142857142857,0.6730769230769231,0.13333333333333333,52,0
sex,female,0.0,0.43137254901960786,1.0,0.5576923076923077,0.045454545454545456,52,1
sex,female,0.1875,0.2765957446808511,0.25,0.7254901960784313,0.07692307692307693,51,2
sex,female,0.08695652173913043,0.5384615384615384,0.0,0.4878048780487805,0.0,41,3
sex,female,0.0,0.2727272727272727,,0.7272727272727273,0.0,55,4
sex,male,0.13043478260869565,0.445859872611465,0.16,0.5752212389380531,0.02857142857142857,339,0
sex,male,0.17142857142857143,0.3790849673202614,0.2727272727272727,0.6312684365781711,0.07758620689655173,339,1
sex,male,0.15503875968992248,0.35275080906148865,0.3548387096774194,0.6470588235294118,0.10091743119266056,340,2
sex,male,0.1342281879194631,0.39814814814814814,0.23076923076923078,0.6142857142857143,0.046511627906976744,350,3
sex,male,0.176,0.34448160535117056,0.3888888888888889,0.6507462686567164,0.13592233009708737,335,4
