Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.1721311475409836,0.5153061224489796,0.25,0.5178571428571429,0.06930693069306931,224,0
race,African-American,0.12299465240641712,0.7922705314009661,0.041666666666666664,0.2857142857142857,0.006097560975609756,231,1
race,African-American,0.1510791366906475,0.6082474226804123,0.16,0.4429223744292237,0.03389830508474576,219,2
race,African-American,0.15151515151515152,0.6829268292682927,0.0,0.391304347826087,0.0,230,3
race,African-American,0.12643678160919541,0.7715736040609137,0.043478260869565216,0.30454545454545456,0.006578947368421052,220,4
race,Caucasian,0.12280701754385964,0.45045045045045046,0.2222222222222222,0.5666666666666667,0.04,120,0
race,Caucasian,0.046511627906976744,0.7663551401869159,0.3333333333333333,0.25663716814159293,0.024390243902439025,113,1
race,Caucasian,0.09523809523809523,0.49137931034482757,0.0,0.5327868852459017,0.0,122,2
race,Caucasian,0.13114754098360656,0.48623853211009177,0.2,0.5378151260504201,0.03773584905660377,119,3
race,Caucasian,0.15,0.5964912280701754,0.07692307692307693,0.4566929133858268,0.014705882352941176,127,4
race,Hispanic,0.16666666666666666,0.3225806451612903,0.0,0.696969696969697,0.0,33,0
race,Hispanic,0.0,0.5925925925925926,,0.4074074074074074,0.0,27,1
race,Hispanic,0.0,0.56,1.0,0.4230769230769231,0.07142857142857142,26,2
race,Hispanic,0.25,0.375,0.0,0.6666666666666666,0.0,18,3
race,Hispanic,0.07142857142857142,0.5909090909090909,0.0,0.43478260869565216,0.0,23,4
race,Other,0.125,0.5384615384615384,0.0,0.5,0.0,14,0
race,Other,0.0,0.55,,0.45,0.0,20,1
race,Other,0.16666666666666666,0.47619047619047616,0.3333333333333333,0.5416666666666666,0.1,24,2
race,Other,0.0,0.5217391304347826,1.0,0.4583333333333333,0.08333333333333333,24,3
race,Other,0.13333333333333333,0.7222222222222222,0.0,0.35,0.0,20,4
sex,female,0.25,0.32608695652173914,0.16666666666666666,0.6923076923076923,0.06666666666666667,52,0
sex,female,0.07894736842105263,0.7142857142857143,0.0,0.3269230769230769,0.0,52,1
sex,female,0.09090909090909091,0.40816326530612246,0.0,0.6078431372549019,0.0,51,2
sex,female,0.21052631578947367,0.4166666666666667,0.2,0.6097560975609756,0.06666666666666667,41,3
sex,female,0.0625,0.5660377358490566,0.0,0.45454545454545453,0.0,55,4
sex,male,0.1452513966480447,0.5016393442622951,0.23529411764705882,0.5250737463126843,0.05228758169934641,339,0
sex,male,0.0916030534351145,0.7628205128205128,0.1111111111111111,0.2890855457227139,0.012605042016806723,339,1
sex,male,0.13106796116504854,0.5830618892508144,0.18181818181818182,0.45588235294117646,0.0335195530726257,340,2
sex,male,0.13656387665198239,0.6182965299684543,0.06060606060606061,0.4342857142857143,0.01020408163265306,350,3
sex,male,0.1394422310756972,0.7248322147651006,0.05405405405405406,0.3492537313432836,0.009259259259259259,335,4
