Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6744186046511628,0.29473684210526313,0.5245901639344263,0.576036866359447,2.2857142857142856,217,0
race,African-American,0.6551724137931034,0.26548672566371684,0.5169491525423728,0.6060606060606061,2.033333333333333,231,1
race,African-American,0.7058823529411765,0.29411764705882354,0.3739130434782609,0.663594470046083,1.4333333333333333,217,2
race,African-American,0.5739130434782609,0.3983739837398374,0.36538461538461536,0.6167400881057269,0.7755102040816326,227,3
race,African-American,0.4842105263157895,0.3684210526315789,0.5353535353535354,0.5603448275862069,1.0816326530612246,232,4
race,Asian,,0.0,1.0,0.5,inf,2,0
race,Asian,1.0,0.0,0.5,0.6666666666666666,inf,3,2
race,Caucasian,0.5769230769230769,0.14285714285714285,0.7222222222222222,0.6183206106870229,3.5454545454545454,131,0
race,Caucasian,0.5882352941176471,0.11475409836065574,0.7916666666666666,0.5871559633027523,5.428571428571429,109,1
race,Caucasian,0.68,0.1095890410958904,0.66,0.6666666666666666,4.125,123,2
race,Caucasian,0.40540540540540543,0.2682926829268293,0.6511627906976745,0.6,1.2727272727272727,125,3
race,Caucasian,0.7037037037037037,0.12698412698412698,0.62,0.6548672566371682,3.875,113,4
race,Hispanic,0.2222222222222222,0.5,0.75,0.4090909090909091,0.8571428571428571,22,0
race,Hispanic,0.5,0.2222222222222222,0.6923076923076923,0.5806451612903226,2.25,31,1
race,Hispanic,0.4,0.14285714285714285,0.6,0.7692307692307693,1.0,26,2
race,Hispanic,0.5,0.125,0.6666666666666666,0.7272727272727273,2.0,22,3
race,Hispanic,0.6,0.13333333333333333,0.7272727272727273,0.6153846153846154,4.0,26,4
race,Native American,0.0,0.5,,0.5,0.0,2,0
race,Native American,0.0,1.0,,0.0,0.0,1,2
race,Native American,0.0,1.0,,0.0,0.0,1,3
race,Other,0.3333333333333333,0.18181818181818182,0.8333333333333334,0.5882352941176471,2.5,17,0
race,Other,0.6666666666666666,0.2222222222222222,0.6363636363636364,0.55,3.5,20,1
race,Other,0.4,0.21428571428571427,0.7142857142857143,0.6190476190476191,1.6666666666666667,21,2
race,Other,0.25,0.375,0.875,0.375,2.3333333333333335,16,3
race,Other,0.7142857142857143,0.18181818181818182,0.375,0.7368421052631579,1.5,19,4
sex,female,0.6101694915254238,0.26285714285714284,0.5813953488372093,0.579250720461095,2.1739130434782608,347,0
sex,female,0.6306306306306306,0.2469879518072289,0.5882352941176471,0.5803571428571429,2.4390243902439024,336,1
sex,female,0.6793893129770993,0.24,0.4573170731707317,0.6548672566371682,1.7857142857142858,339,2
sex,female,0.5294117647058824,0.36923076923076925,0.4452054794520548,0.5982404692082112,0.9027777777777778,341,3
sex,female,0.5371900826446281,0.2916666666666667,0.5608108108108109,0.5911764705882353,1.4821428571428572,340,4
sex,male,0.5714285714285714,0.12,0.7894736842105263,0.5909090909090909,5.0,44,0
sex,male,0.7142857142857143,0.05714285714285714,0.75,0.6909090909090909,7.5,55,1
sex,male,0.625,0.08108108108108109,0.6666666666666666,0.75,3.3333333333333335,52,2
sex,male,0.375,0.14285714285714285,0.8,0.66,2.4,50,3
sex,male,0.6153846153846154,0.16666666666666666,0.6,0.66,2.4,50,4
