Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.5644171779141104,0.6173913043478261,0.1559633027522936,0.6071428571428571,0.23943661971830985,224,0
race,African-American,0.5838509316770186,0.5677966101694916,0.168141592920354,0.6277056277056277,0.2835820895522388,231,1
race,African-American,0.5508982035928144,0.7009345794392523,0.17857142857142858,0.5662100456621004,0.26666666666666666,219,2
race,African-American,0.5469613259668509,0.6890756302521008,0.10810810810810811,0.591304347826087,0.14634146341463414,230,3
race,African-American,0.6103896103896104,0.5607476635514018,0.168141592920354,0.6409090909090909,0.31666666666666665,220,4
race,Caucasian,0.5211267605633803,0.5074626865671642,0.3018867924528302,0.5833333333333334,0.47058823529411764,120,0
race,Caucasian,0.4626865671641791,0.5373134328358209,0.32608695652173914,0.5486725663716814,0.4166666666666667,113,1
race,Caucasian,0.5223880597014925,0.4383561643835616,0.2857142857142857,0.6229508196721312,0.4375,122,2
race,Caucasian,0.5,0.41333333333333333,0.29545454545454547,0.6302521008403361,0.41935483870967744,119,3
race,Caucasian,0.5294117647058824,0.43243243243243246,0.32075471698113206,0.6141732283464567,0.53125,127,4
race,Hispanic,0.46153846153846156,0.3181818181818182,0.45454545454545453,0.6363636363636364,0.7142857142857143,33,0
race,Hispanic,0.26666666666666666,0.5,0.2,0.5555555555555556,0.09090909090909091,27,1
race,Hispanic,0.42105263157894735,0.6470588235294118,0.1111111111111111,0.5384615384615384,0.09090909090909091,26,2
race,Hispanic,0.5454545454545454,0.45454545454545453,0.14285714285714285,0.6666666666666666,0.2,18,3
race,Hispanic,0.4666666666666667,0.6666666666666666,0.36363636363636365,0.4782608695652174,0.5,23,4
race,Other,0.75,0.3333333333333333,0.25,0.7142857142857143,1.0,14,0
race,Other,0.0,0.4,1.0,0.45,0.8333333333333334,20,1
race,Other,0.42857142857142855,0.5714285714285714,0.4,0.5,0.5,24,2
race,Other,0.46153846153846156,0.4375,0.25,0.625,0.2857142857142857,24,3
race,Other,0.6923076923076923,0.5,0.25,0.65,0.75,20,4
sex,female,0.5151515151515151,0.5161290322580645,0.19047619047619047,0.6153846153846154,0.25,52,0
sex,female,0.41935483870967744,0.5294117647058824,0.2777777777777778,0.5576923076923077,0.2777777777777778,52,1
sex,female,0.5,0.53125,0.10526315789473684,0.6274509803921569,0.11764705882352941,51,2
sex,female,0.52,0.48,0.1875,0.6341463414634146,0.25,41,3
sex,female,0.3793103448275862,0.45,0.26666666666666666,0.6,0.2222222222222222,55,4
sex,male,0.5585585585585585,0.547486033519553,0.225,0.6047197640117994,0.3673469387755102,339,0
sex,male,0.5321100917431193,0.5425531914893617,0.23178807947019867,0.5958702064896755,0.3431372549019608,339,1
sex,male,0.5321888412017167,0.6089385474860335,0.22981366459627328,0.5705882352941176,0.3394495412844037,340,2
sex,male,0.5330578512396694,0.576530612244898,0.16233766233766234,0.6057142857142858,0.22123893805309736,350,3
sex,male,0.6108597285067874,0.5341614906832298,0.22413793103448276,0.6268656716417911,0.45348837209302323,335,4
