Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.9151785714285714,inf,224,0
race,African-American,,0.0,1.0,0.9177489177489178,inf,231,1
race,African-American,,0.0,1.0,0.9178082191780822,inf,219,2
race,African-American,,0.0,1.0,0.8782608695652174,inf,230,3
race,African-American,,0.0,1.0,0.8909090909090909,inf,220,4
race,Asian,,0.0,,1.0,,1,0
race,Asian,,0.0,1.0,0.5,inf,2,1
race,Asian,,,1.0,0.0,inf,1,3
race,Asian,,0.0,,1.0,,1,4
race,Caucasian,,0.0,1.0,0.8833333333333333,inf,120,0
race,Caucasian,,0.0,1.0,0.9203539823008849,inf,113,1
race,Caucasian,,0.0,1.0,0.8770491803278688,inf,122,2
race,Caucasian,,0.0,1.0,0.957983193277311,inf,119,3
race,Caucasian,,0.0,1.0,0.9212598425196851,inf,127,4
race,Hispanic,,0.0,,1.0,,33,0
race,Hispanic,,0.0,1.0,0.8888888888888888,inf,27,1
race,Hispanic,,0.0,,1.0,,26,2
race,Hispanic,,0.0,1.0,0.9444444444444444,inf,18,3
race,Hispanic,,0.0,1.0,0.9130434782608695,inf,23,4
race,Native American,,0.0,,1.0,,1,0
race,Native American,,0.0,,1.0,,2,1
race,Native American,,0.0,,1.0,,1,4
race,Other,,0.0,1.0,0.9166666666666666,inf,12,0
race,Other,,0.0,1.0,0.9375,inf,16,1
race,Other,,0.0,,1.0,,24,2
race,Other,,0.0,1.0,0.9130434782608695,inf,23,3
race,Other,,0.0,1.0,0.8888888888888888,inf,18,4
sex,female,,0.0,1.0,0.9144542772861357,inf,339,0
sex,female,,0.0,1.0,0.9144542772861357,inf,339,1
sex,female,,0.0,1.0,0.9147058823529411,inf,340,2
sex,female,,0.0,1.0,0.9028571428571428,inf,350,3
sex,female,,0.0,1.0,0.8985074626865671,inf,335,4
sex,male,,0.0,1.0,0.9038461538461539,inf,52,0
sex,male,,0.0,1.0,0.9230769230769231,inf,52,1
sex,male,,0.0,1.0,0.9215686274509803,inf,51,2
sex,male,,0.0,1.0,0.926829268292683,inf,41,3
sex,male,,0.0,1.0,0.9272727272727272,inf,55,4
