Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.7465437788018433,inf,217,0
race,African-American,,0.0,1.0,0.7878787878787878,inf,231,1
race,African-American,0.4,0.018404907975460124,0.9629629629629629,0.7465437788018433,17.333333333333332,217,2
race,African-American,0.3125,0.06285714285714286,0.9038461538461539,0.7444933920704846,4.2727272727272725,227,3
race,African-American,0.22727272727272727,0.0913978494623656,0.8913043478260869,0.75,2.411764705882353,232,4
race,Caucasian,,0.0,1.0,0.816793893129771,inf,131,0
race,Caucasian,,0.0,1.0,0.7798165137614679,inf,109,1
race,Caucasian,0.5,0.010309278350515464,0.9615384615384616,0.7886178861788617,25.0,123,2
race,Caucasian,0.4,0.028846153846153848,0.9047619047619048,0.824,6.333333333333333,125,3
race,Caucasian,0.375,0.053763440860215055,0.85,0.8053097345132744,3.4,113,4
race,Hispanic,,0.0,1.0,0.9090909090909091,inf,22,0
race,Hispanic,,0.0,1.0,0.8064516129032258,inf,31,1
race,Hispanic,,0.0,1.0,0.9615384615384616,inf,26,2
race,Hispanic,0.0,0.05263157894736842,1.0,0.8181818181818182,3.0,22,3
race,Hispanic,0.5,0.047619047619047616,0.8,0.8076923076923077,4.0,26,4
race,Other,,0.0,1.0,0.8571428571428571,inf,21,0
race,Other,,0.0,1.0,0.75,inf,20,1
race,Other,,0.0,1.0,0.88,inf,25,2
race,Other,,0.0,1.0,0.5882352941176471,inf,17,3
race,Other,0.0,0.06666666666666667,1.0,0.7368421052631579,4.0,19,4
sex,female,,0.0,1.0,0.8636363636363636,inf,44,0
sex,female,,0.0,1.0,0.8181818181818182,inf,55,1
sex,female,,0.0,1.0,0.9423076923076923,inf,52,2
sex,female,0.0,0.047619047619047616,1.0,0.8,4.0,50,3
sex,female,0.3333333333333333,0.09523809523809523,0.75,0.8,1.5,50,4
sex,male,,0.0,1.0,0.7752161383285303,inf,347,0
sex,male,,0.0,1.0,0.7797619047619048,inf,336,1
sex,male,0.42857142857142855,0.015503875968992248,0.9629629629629629,0.7581120943952803,19.5,339,2
sex,male,0.35,0.04887218045112782,0.9066666666666666,0.7624633431085044,5.230769230769231,341,3
sex,male,0.25925925925925924,0.07326007326007326,0.8955223880597015,0.7647058823529411,3.0,340,4
