Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6666666666666666,0.011428571428571429,0.9183673469387755,0.7901785714285714,22.5,224,0
race,African-American,0.5,0.010869565217391304,0.9574468085106383,0.7965367965367965,22.5,231,1
race,African-American,0.4444444444444444,0.030120481927710843,0.9245283018867925,0.7534246575342466,9.8,219,2
race,African-American,0.375,0.028089887640449437,0.9423076923076923,0.7652173913043478,9.8,230,3
race,African-American,0.5,0.024242424242424242,0.9272727272727272,0.75,12.75,220,4
race,Caucasian,0.25,0.03260869565217391,0.9642857142857143,0.75,9.0,120,0
race,Caucasian,0.6666666666666666,0.021505376344086023,0.8,0.8407079646017699,8.0,113,1
race,Caucasian,0.5,0.01020408163265306,0.9583333333333334,0.8032786885245902,23.0,122,2
race,Caucasian,1.0,0.0,0.8888888888888888,0.865546218487395,inf,119,3
race,Caucasian,1.0,0.0,0.96,0.8110236220472441,inf,127,4
race,Hispanic,0.0,0.034482758620689655,1.0,0.8484848484848485,4.0,33,0
race,Hispanic,,0.0,1.0,0.8518518518518519,inf,27,1
race,Hispanic,,0.0,1.0,0.9230769230769231,inf,26,2
race,Hispanic,,0.0,1.0,0.8888888888888888,inf,18,3
race,Hispanic,,0.0,1.0,0.782608695652174,inf,23,4
race,Other,,0.0,1.0,0.7857142857142857,inf,14,0
race,Other,,0.0,1.0,0.8,inf,20,1
race,Other,,0.0,1.0,0.875,inf,24,2
race,Other,0.0,0.05,1.0,0.7916666666666666,4.0,24,3
race,Other,,0.0,1.0,0.6,inf,20,4
sex,female,1.0,0.0,0.8181818181818182,0.8269230769230769,inf,52,0
sex,female,0.5,0.02040816326530612,0.6666666666666666,0.9423076923076923,2.0,52,1
sex,female,0.5,0.024390243902439025,0.9,0.803921568627451,9.0,51,2
sex,female,,0.0,1.0,0.8536585365853658,inf,41,3
sex,female,0.3333333333333333,0.04,0.8,0.8909090909090909,2.0,55,4
sex,male,0.3333333333333333,0.022556390977443608,0.958904109589041,0.775811209439528,11.666666666666666,339,0
sex,male,0.625,0.011235955056179775,0.9305555555555556,0.7935103244837758,22.333333333333332,339,1
sex,male,0.4444444444444444,0.018656716417910446,0.9444444444444444,0.7852941176470588,13.6,340,2
sex,male,0.45454545454545453,0.02142857142857143,0.9285714285714286,0.7971428571428572,10.833333333333334,350,3
sex,male,0.6666666666666666,0.008097165991902834,0.9545454545454546,0.7432835820895523,42.0,335,4
