,CART,EBM,Lasso Stumps,RiskSLIM,RiskSLIM-Constrained,Performance Range,Arnold PSA,Compas
,,,,,,,,
General,0.62 (0.027),0.663 (0.029),0.651 (0.019),0.621 (0.023),0.621 (0.024),0.043,0.605 (0.022),0.631 (0.019)
,,,,,,,,
Violent,0.621 (0.046),0.675 (0.046),0.661 (0.041),0.65 (0.05),0.649 (0.055),0.054,0.628 (0.028),0.639 (0.036)
,,,,,,,,
Drug,0.654 (0.028),0.681 (0.048),0.718 (0.038),0.678 (0.026),0.701 (0.016),0.064,0.552 (0.05),0.633 (0.025)
,,,,,,,,
Property,0.684 (0.058),0.739 (0.033),0.739 (0.03),0.722 (0.04),0.714 (0.019),0.055,0.658 (0.012),0.645 (0.036)
,,,,,,,,
Felony,0.595 (0.028),0.655 (0.051),0.632 (0.027),0.605 (0.026),0.587 (0.037),0.067,0.619 (0.044),0.652 (0.034)
,,,,,,,,
Misdemeanor,0.567 (0.047),0.635 (0.03),0.612 (0.02),0.586 (0.024),0.577 (0.017),0.068,0.544 (0.019),0.551 (0.03)
