Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.44293991032527014,0
race,African-American,1,0.5043179943581104,0
race,Hispanic,0,0.3845031543384431,0
race,Caucasian,0,0.42347646351547863,0
race,Caucasian,1,0.5013181011715453,0
race,Other,0,0.4379685095842666,0
race,Other,1,0.6159295018671748,0
sex,male,0,0.43157529652823806,0
sex,male,1,0.5297942627269163,0
sex,female,0,0.44025044621244436,0
sex,female,1,0.32183765323369284,0
race,Other,0,0.3900415513852068,1
race,Caucasian,0,0.4277174486131584,1
race,Caucasian,1,0.5346768863242068,1
race,African-American,0,0.45167163776610875,1
race,African-American,1,0.5461680516302327,1
race,Hispanic,0,0.3987589754759846,1
race,Hispanic,1,0.26389013254734833,1
sex,male,0,0.43502272944550713,1
sex,male,1,0.499933528943932,1
sex,female,0,0.457336268072128,1
sex,female,1,0.6537083149415299,1
race,African-American,0,0.4360141180253371,2
race,African-American,1,0.5646619497384748,2
race,Other,0,0.36991233633453985,2
race,Other,1,0.5332423589642895,2
race,Caucasian,0,0.41391274785615106,2
race,Caucasian,1,0.583341179818969,2
race,Hispanic,0,0.39456355457449593,2
sex,male,0,0.4302052589037157,2
sex,male,1,0.5585196833346228,2
sex,female,0,0.38031275639406037,2
sex,female,1,0.6315676552778112,2
race,African-American,0,0.48460658591402744,3
race,African-American,1,0.5915529289475976,3
race,Caucasian,0,0.4177936365660051,3
race,Caucasian,1,0.6073046443471517,3
race,Hispanic,0,0.4393991434857781,3
race,Hispanic,1,0.5987917413205711,3
race,Other,0,0.4881397100084643,3
sex,male,0,0.4659125815794767,3
sex,male,1,0.6016677508473169,3
sex,female,0,0.4239261693870773,3
sex,female,1,0.5488185175950805,3
race,Caucasian,0,0.34713342322911445,4
race,Caucasian,1,0.3953752927269511,4
race,African-American,0,0.435309147954645,4
race,African-American,1,0.5441769054619185,4
race,Hispanic,0,0.423188663481095,4
race,Other,0,0.38112304039553735,4
sex,male,0,0.4138463259990471,4
sex,male,1,0.5317912958086429,4
sex,female,0,0.3718324761434599,4
sex,female,1,0.3953171937617313,4
