Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.011721630576680853,0
race,African-American,1,0.011992989802420733,0
race,Hispanic,0,0.009171000071595414,0
race,Caucasian,0,0.008918407590814697,0
race,Caucasian,1,0.008304505980481403,0
race,Other,0,0.008642732512310201,0
race,Other,1,0.011602101768231607,0
sex,male,0,0.010911286394008997,0
sex,male,1,0.01045773516400167,0
sex,female,0,0.007862719866279769,0
sex,female,1,0.009229972103899023,0
race,Other,0,0.011131889171460393,1
race,Caucasian,0,0.010613880735254584,1
race,Caucasian,1,0.014277459163851218,1
race,African-American,0,0.012082695263470583,1
race,African-American,1,0.015249768002711757,1
race,Hispanic,0,0.010223353358419054,1
race,Hispanic,1,0.01021975741148187,1
sex,male,0,0.011866936420342571,1
sex,male,1,0.015805658627114954,1
sex,female,0,0.008576345125503676,1
sex,female,1,0.007635390784444073,1
race,African-American,0,0.011117341637261696,2
race,African-American,1,0.012199928981386242,2
race,Other,0,0.00988253372538756,2
race,Caucasian,0,0.009470196695597347,2
race,Caucasian,1,0.011801121837365876,2
race,Hispanic,0,0.009660324680004181,2
race,Hispanic,1,0.009044996577114713,2
sex,male,0,0.010590145350427325,2
sex,male,1,0.012126311684315482,2
sex,female,0,0.009319141096542272,2
sex,female,1,0.01016830230776583,2
race,African-American,0,0.01199759305462945,3
race,African-American,1,0.012299102175642118,3
race,Caucasian,1,0.011582562139405747,3
race,Caucasian,0,0.009643660805672045,3
race,Hispanic,0,0.00857874059285473,3
race,Hispanic,1,0.017094553009459217,3
race,Other,0,0.008245740561098568,3
race,Other,1,0.011132963636008316,3
sex,male,0,0.011179007598695015,3
sex,male,1,0.011820091538825425,3
sex,female,0,0.008401002314976919,3
sex,female,1,0.01671459690897081,3
race,Caucasian,1,0.01233173819142087,4
race,Caucasian,0,0.009109010974341226,4
race,African-American,0,0.010457031129472712,4
race,African-American,1,0.012296250554226291,4
race,Hispanic,0,0.009518838391774979,4
race,Hispanic,1,0.012831821090512736,4
race,Other,0,0.009711471242566622,4
sex,male,1,0.012561604276561913,4
sex,male,0,0.010147115485439846,4
sex,female,1,0.009509101975453014,4
sex,female,0,0.009075147260378103,4
