Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.22674354293411353,0
race,African-American,1,0.2668270361353872,0
race,Hispanic,0,0.1647755087801672,0
race,Hispanic,1,0.2689414213699951,0
race,Caucasian,0,0.16927128773219968,0
race,Caucasian,1,0.20295904010490268,0
race,Other,0,0.19813817566016265,0
race,Other,1,0.29604811446403756,0
sex,male,0,0.2056133499279389,0
sex,male,1,0.24721575252720632,0
sex,female,0,0.1825246515216971,0
sex,female,1,0.2389937215004196,0
race,Other,0,0.13990291746313613,1
race,Other,1,0.21902858825403593,1
race,Caucasian,0,0.20050125322955528,1
race,Caucasian,1,0.19096139935146764,1
race,African-American,0,0.22315968827713809,1
race,African-American,1,0.2674194534545307,1
race,Hispanic,0,0.19109068773306656,1
race,Hispanic,1,0.13479521212278292,1
sex,male,0,0.21197541306362755,1
sex,male,1,0.24323261552413875,1
sex,female,0,0.19800452025820614,1
sex,female,1,0.20345131393066915,1
race,African-American,1,0.26701726720367397,2
race,African-American,0,0.23926778617022634,2
race,Other,0,0.2054494238235888,2
race,Other,1,0.19469061186193393,2
race,Caucasian,0,0.18587414870724808,2
race,Caucasian,1,0.22080903506289443,2
race,Hispanic,0,0.17431318517163186,2
race,Hispanic,1,0.25183681635355754,2
sex,male,1,0.25123915536399516,2
sex,male,0,0.21935342100987704,2
sex,female,0,0.19533865513330181,2
sex,female,1,0.22615899298488723,2
race,African-American,1,0.29231950083045616,3
race,African-American,0,0.24657148390805286,3
race,Caucasian,1,0.1780287610516408,3
race,Caucasian,0,0.20323428294864196,3
race,Hispanic,0,0.20871821315674413,3
race,Hispanic,1,0.4229804737899984,3
race,Other,0,0.22901115487722778,3
race,Other,1,0.29604811446403756,3
sex,male,1,0.2625026060355105,3
sex,male,0,0.23374018314808126,3
sex,female,0,0.19633106278722648,3
sex,female,1,0.23777614716804824,3
race,Caucasian,1,0.258546286043161,4
race,Caucasian,0,0.1508725255632036,4
race,African-American,1,0.24377779054702262,4
race,African-American,0,0.22814822461790377,4
race,Hispanic,0,0.16924676463058974,4
race,Hispanic,1,0.11920292202211755,4
race,Other,1,0.28927144119052695,4
race,Other,0,0.17601016894825297,4
sex,male,1,0.2473649639784256,4
sex,male,0,0.20075328383394284,4
sex,female,1,0.2477322112400165,4
sex,female,0,0.19696025131501965,4
