Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.5032866722226226,0
race,African-American,1,0.5479516076263052,0
race,Hispanic,0,0.4605016736910685,0
race,Hispanic,1,0.48539546188283444,0
race,Caucasian,0,0.4551048585586114,0
race,Caucasian,1,0.4828927526059913,0
race,Other,0,0.47292150682620165,0
race,Other,1,0.5214603290874458,0
sex,male,0,0.4873411053533057,0
sex,male,1,0.5236988718195069,0
sex,female,0,0.4576263582726705,0
sex,female,1,0.5364216699615226,0
race,Other,0,0.49770020761383044,1
race,Other,1,0.6390677747299052,1
race,Caucasian,0,0.4931552870779339,1
race,Caucasian,1,0.5092844138819095,1
race,African-American,0,0.5379022838617223,1
race,African-American,1,0.5771609456381285,1
race,Hispanic,0,0.5079510480543482,1
race,Hispanic,1,0.49547722728449317,1
sex,male,0,0.5199639900997319,1
sex,male,1,0.5626280125248578,1
sex,female,0,0.5111900342475204,1
sex,female,1,0.5152771990799232,1
race,African-American,1,0.5508898485779118,2
race,African-American,0,0.5010069475714226,2
race,Other,0,0.46486229328753664,2
race,Other,1,0.5062809749833149,2
race,Caucasian,0,0.4542392848658588,2
race,Caucasian,1,0.48978818656663714,2
race,Hispanic,0,0.43550983999347487,2
race,Hispanic,1,0.5246672688112439,2
sex,male,1,0.5303379217612382,2
sex,male,0,0.48257281533642293,2
sex,female,0,0.4644798076792448,2
sex,female,1,0.5181865461090825,2
race,African-American,1,0.5550526300676912,3
race,African-American,0,0.5095395816280864,3
race,Caucasian,1,0.47907102864610146,3
race,Caucasian,0,0.4601559637926768,3
race,Hispanic,0,0.46690047288176534,3
race,Hispanic,1,0.5874651973998516,3
race,Other,0,0.46186371268101045,3
race,Other,1,0.5692381924970621,3
sex,male,1,0.5309225909212751,3
sex,male,0,0.49350685551079687,3
sex,female,0,0.4534393581359874,3
sex,female,1,0.5355011437518955,3
race,Caucasian,1,0.5052429203513293,4
race,Caucasian,0,0.43736883267247867,4
race,African-American,1,0.5199100690154391,4
race,African-American,0,0.5033103980829747,4
race,Hispanic,0,0.464769610731535,4
race,Hispanic,1,0.47967606366465343,4
race,Other,1,0.5065069810897862,4
race,Other,0,0.4489313770755505,4
sex,male,1,0.519691321767533,4
sex,male,0,0.48161051882697997,4
sex,female,1,0.4844185594191532,4
sex,female,0,0.4648400394207749,4
