Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.40448051616637865,0
race,African-American,1,0.501079614479214,0
race,Hispanic,1,0.3560182784679492,0
race,Hispanic,0,0.3459235314220525,0
race,Caucasian,0,0.33814522092897287,0
race,Caucasian,1,0.36365374826542163,0
race,Other,1,0.37044081268488216,0
race,Other,0,0.4011588983491725,0
sex,male,0,0.3931724393975087,0
sex,male,1,0.46557707479610194,0
sex,female,0,0.2805396382439677,0
sex,female,1,0.3152935177471836,0
race,Other,0,0.39269756924630544,1
race,Other,1,0.6108817254607698,1
race,Caucasian,1,0.4494807281080006,1
race,Caucasian,0,0.35870141069686506,1
race,African-American,1,0.5315466536389997,1
race,African-American,0,0.43620120572746157,1
race,Hispanic,1,0.44140013656633004,1
race,Hispanic,0,0.44576082192407035,1
sex,male,0,0.4185318266967705,1
sex,male,1,0.5156159023972701,1
sex,female,1,0.42695532511696954,1
sex,female,0,0.34305388515598095,1
race,African-American,1,0.4908249310257546,2
race,African-American,0,0.39281798077426716,2
race,Other,1,0.37461882259476775,2
race,Other,0,0.3355749143178415,2
race,Caucasian,1,0.42811653164032243,2
race,Caucasian,0,0.29644180043029106,2
race,Hispanic,0,0.2573397160632767,2
race,Hispanic,1,0.4179131482733922,2
sex,male,1,0.4642566707759526,2
sex,male,0,0.368569616271217,2
sex,female,1,0.4420488462964266,2
sex,female,0,0.24456462576044083,2
race,African-American,1,0.492767101965991,3
race,African-American,0,0.4118916207352075,3
race,Caucasian,1,0.4015653175468301,3
race,Caucasian,0,0.3370117453348271,3
race,Hispanic,0,0.3218351568536602,3
race,Hispanic,1,0.47577983972574783,3
race,Other,0,0.3284559084166139,3
race,Other,1,0.3543686856925674,3
sex,male,1,0.46169267958262505,3
sex,male,0,0.38506777446077145,3
sex,female,0,0.3125312761193308,3
sex,female,1,0.42293126178389057,3
race,Caucasian,1,0.4473453449362739,4
race,Caucasian,0,0.29312203852733754,4
race,African-American,1,0.5125923419109459,4
race,African-American,0,0.4047920276068203,4
race,Hispanic,1,0.3548166908174622,4
race,Hispanic,0,0.3625318877329246,4
race,Other,1,0.4718940428799945,4
race,Other,0,0.32216396770713446,4
sex,male,1,0.4962777898079334,4
sex,male,0,0.3828150214544045,4
sex,female,1,0.413124678120551,4
sex,female,0,0.26248930295182044,4
