Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.412649481807543,0
race,African-American,1,0.4791315420494228,0
race,Hispanic,1,0.31515313709599607,0
race,Hispanic,0,0.3669082786466485,0
race,Caucasian,0,0.3457367904706602,0
race,Caucasian,1,0.39704931117936776,0
race,Other,1,0.36403207630935835,0
race,Other,0,0.43979184034015056,0
sex,male,0,0.3987365490928022,0
sex,male,1,0.4508346748693645,0
sex,female,1,0.40254183941435917,0
sex,female,0,0.3171180300633793,0
race,Other,0,0.37163412298333065,1
race,Other,1,0.5462117157260009,1
race,Caucasian,1,0.4673850766430631,1
race,Caucasian,0,0.41264858612768096,1
race,African-American,1,0.5243148337087853,1
race,African-American,0,0.45854159470157785,1
race,Hispanic,1,0.40757656854799806,1
race,Hispanic,0,0.40485823232882145,1
sex,male,0,0.4266061326469351,1
sex,male,1,0.4993676393389363,1
sex,female,0,0.4750206942021616,1
sex,female,1,0.5308078104840006,1
race,African-American,1,0.49795523381743356,2
race,African-American,0,0.44276530621091614,2
race,Other,1,0.41597869867999826,2
race,Other,0,0.4422353553424988,2
race,Caucasian,1,0.44324877016105135,2
race,Caucasian,0,0.3719810577860782,2
race,Hispanic,0,0.37163412298333065,2
race,Hispanic,1,0.453788284273999,2
sex,male,1,0.47432682459666614,2
sex,male,0,0.42298047378999853,2
sex,female,1,0.4768941421369995,2
sex,female,0,0.3628089689384345,2
race,African-American,1,0.550937256913324,3
race,African-American,0,0.45285499549807817,3
race,Caucasian,1,0.41738670662554633,3
race,Caucasian,0,0.37824406098483754,3
race,Hispanic,0,0.382841700683432,3
race,Hispanic,1,0.5577646446575012,3
race,Other,0,0.39463572059526353,3
race,Other,1,0.3776288686784225,3
sex,male,1,0.5064314393701791,3
sex,male,0,0.4233449274401788,3
sex,female,0,0.3912586199469674,3
sex,female,1,0.4786087858074461,3
race,Caucasian,1,0.5016290100015655,4
race,Caucasian,0,0.36885623516767907,4
race,African-American,1,0.5382409785379929,4
race,African-American,0,0.46110722169785073,4
race,Hispanic,1,0.5,4
race,Hispanic,0,0.42298047378999837,4
race,Other,1,0.5764819570759858,4
race,Other,0,0.39195763565239133,4
sex,male,1,0.5264707395889539,4
sex,male,0,0.43579346352092607,4
sex,female,1,0.5451205788448077,4
sex,female,0,0.3809698231299974,4
