Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.26836022645979557,0
race,African-American,1,0.28900984425737053,0
race,Hispanic,1,0.22360421335974773,0
race,Hispanic,0,0.24879743065156573,0
race,Caucasian,0,0.2515070603362366,0
race,Caucasian,1,0.23574681553485757,0
race,Other,0,0.26180365313798565,0
race,Other,1,0.2796062625321532,0
sex,male,0,0.2629369961044537,0
sex,male,1,0.27585306585753444,0
sex,female,0,0.24710039221006752,0
sex,female,1,0.2403804294648818,0
race,Other,0,0.27411538543622205,1
race,Other,1,0.302703611942551,1
race,Caucasian,0,0.26785247701267306,1
race,Caucasian,1,0.28407626813662235,1
race,African-American,1,0.283865906478415,1
race,African-American,0,0.26660777926940843,1
race,Hispanic,1,0.2734795130417285,1
race,Hispanic,0,0.28514569171497517,1
sex,male,0,0.26923396831233926,1
sex,male,1,0.27936499316319185,1
sex,female,0,0.26466652290714865,1
sex,female,1,0.3199185049173731,1
race,African-American,1,0.29252885081404334,2
race,African-American,0,0.27429184466135303,2
race,Other,1,0.27522154869298204,2
race,Other,0,0.22441236341587156,2
race,Caucasian,0,0.2501587749238183,2
race,Caucasian,1,0.2695987762869699,2
race,Hispanic,0,0.2754014923710881,2
race,Hispanic,1,0.22864113487025284,2
sex,male,1,0.285367069458366,2
sex,male,0,0.26844852629392457,2
sex,female,0,0.2394203457570828,2
sex,female,1,0.2441773348973482,2
race,African-American,1,0.308894429217474,3
race,African-American,0,0.28412220496438423,3
race,Caucasian,0,0.24229968084376913,3
race,Caucasian,1,0.2685690431270894,3
race,Hispanic,0,0.23230207980097084,3
race,Hispanic,1,0.3514915693904021,3
race,Other,0,0.24755791578514066,3
race,Other,1,0.3215066027315013,3
sex,male,1,0.30233893455052696,3
sex,male,0,0.2656015963646562,3
sex,female,0,0.25751663790066276,3
sex,female,1,0.2867609578141609,3
race,Caucasian,0,0.2441869276170869,4
race,Caucasian,1,0.3108139465471537,4
race,African-American,1,0.31617950147644386,4
race,African-American,0,0.2779005057111439,4
race,Hispanic,1,0.3355363401301757,4
race,Hispanic,0,0.2739989330595438,4
race,Other,1,0.3937563482059967,4
race,Other,0,0.22797955278844392,4
sex,male,0,0.26654241454741723,4
sex,male,1,0.3229253116105149,4
sex,female,0,0.2588044640731962,4
sex,female,1,0.3116434698685833,4
