Attribute,Attribute Value,AUC,fold_num
race,African-American,0.618217054263566,0
race,Hispanic,0.28260869565217395,0
race,Caucasian,0.5376766091051806,0
race,Other,0.575,0
sex,male,0.5748586851352039,0
sex,female,0.6795454545454546,0
race,Other,0.7121212121212119,1
race,Caucasian,0.4937106918238994,1
race,African-American,0.5877887082976904,1
race,Hispanic,0.42727272727272725,1
sex,male,0.5686411847108265,1
sex,female,0.4948320413436693,1
race,African-American,0.6197110423116615,2
race,Other,0.5214285714285714,2
race,Caucasian,0.605475040257649,2
race,Hispanic,0.6583333333333333,2
sex,male,0.615944566740044,2
sex,female,0.6460317460317461,2
race,African-American,0.6045751633986928,3
race,Caucasian,0.4345885093167701,3
race,Hispanic,0.891025641025641,3
race,Other,0.5888888888888889,3
sex,male,0.5570583067461969,3
sex,female,0.5753968253968254,3
race,Caucasian,0.6905864197530864,4
race,African-American,0.5409604519774012,4
race,Hispanic,0.34615384615384615,4
race,Other,0.7604166666666666,4
sex,male,0.5768146582100071,4
sex,female,0.6916376306620209,4
