Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5983527131782946,0
race,Hispanic,0.7173913043478262,0
race,Caucasian,0.6373626373626373,0
race,Other,0.5166666666666666,0
sex,male,0.6006009064521057,0
sex,female,0.6568181818181819,0
race,Other,0.8333333333333333,1
race,Caucasian,0.5541329739442946,1
race,African-American,0.5780047048759623,1
race,Hispanic,0.5681818181818181,1
sex,male,0.6008605163097859,1
sex,female,0.49224806201550386,1
race,African-American,0.5940832473340214,2
race,Other,0.4571428571428572,2
race,Caucasian,0.5420692431561998,2
race,Hispanic,0.7,2
sex,male,0.5806984190514309,2
sex,female,0.6015873015873017,2
race,African-American,0.6271241830065358,3
race,Caucasian,0.4557453416149069,3
race,Hispanic,0.891025641025641,3
race,Other,0.5888888888888889,3
sex,male,0.564965089933879,3
sex,female,0.7380952380952381,3
race,Caucasian,0.6926440329218108,4
race,African-American,0.559760374050263,4
race,Hispanic,0.34615384615384615,4
race,Other,0.6458333333333334,4
sex,male,0.5888200946340482,4
sex,female,0.6463414634146342,4
