Attribute,Attribute Value,AUC,fold_num
race,African-American,0.637,0
race,Hispanic,0.6086956521739131,0
race,Caucasian,0.5861015654830087,0
race,Other,0.6447368421052632,0
sex,male,0.6103651065915217,0
sex,female,0.7431818181818182,0
race,Other,0.9166666666666666,1
race,Caucasian,0.5492202729044834,1
race,African-American,0.6182019977802441,1
race,Hispanic,0.4636363636363636,1
sex,male,0.6257036643653744,1
sex,female,0.5258397932816538,1
race,African-American,0.6357791671581928,2
race,Other,0.6666666666666667,2
race,Caucasian,0.5915109034267914,2
race,Hispanic,0.75,2
sex,male,0.6245792962774095,2
sex,female,0.6777777777777778,2
race,African-American,0.6480936819172113,3
race,Caucasian,0.5579629629629629,3
race,Hispanic,0.8717948717948718,3
race,Other,0.8222222222222222,3
sex,male,0.6148897476699249,3
sex,female,0.7182539682539683,3
race,Caucasian,0.688918918918919,4
race,African-American,0.5491803278688524,4
race,Hispanic,0.576923076923077,4
race,Other,0.6347826086956522,4
sex,male,0.6008702531645571,4
sex,female,0.5696864111498258,4
