Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6034306195596518,0
race,Hispanic,0.13043478260869568,0
race,Caucasian,0.5747767857142858,0
race,Other,0.5681818181818181,0
sex,male,0.5834564828498094,0
sex,female,0.6276595744680851,0
race,Other,0.75,1
race,Caucasian,0.5246865203761756,1
race,African-American,0.5803972366148533,1
race,Hispanic,0.75,1
sex,male,0.5815295815295815,1
sex,female,0.6297872340425532,1
race,African-American,0.5794740973312402,2
race,Other,0.5142857142857142,2
race,Caucasian,0.5057471264367817,2
race,Hispanic,0.6770833333333333,2
sex,male,0.5582434514637904,2
sex,female,0.5340425531914894,2
race,African-American,0.5811791383219955,3
race,Caucasian,0.35223765432098764,3
race,Hispanic,0.8928571428571428,3
race,Other,0.828125,3
sex,male,0.5732435934350706,3
sex,female,0.41666666666666663,3
