Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6420890937019968,0
race,Hispanic,0.08695652173913043,0
race,Caucasian,0.6056547619047621,0
race,Other,0.5227272727272727,0
sex,male,0.6097456638407093,0
sex,female,0.6276595744680851,0
race,Other,0.5416666666666666,1
race,Caucasian,0.49843260188087773,1
race,African-American,0.539378238341969,1
race,Hispanic,0.6467391304347825,1
sex,male,0.5368366201699535,1
sex,female,0.5765957446808511,1
race,African-American,0.6824960753532183,2
race,Other,0.5071428571428571,2
race,Caucasian,0.5433908045977012,2
race,Hispanic,0.6770833333333333,2
sex,male,0.6129815100154085,2
sex,female,0.6021276595744681,2
race,African-American,0.5583522297808012,3
race,Caucasian,0.37384259259259267,3
race,Hispanic,0.8392857142857143,3
race,Other,0.921875,3
sex,male,0.5691765044630004,3
sex,female,0.2660256410256411,3
