Attribute,Attribute Value,AUC,fold_num
race,Other,0.34615384615384615,1
race,Caucasian,0.6247645951035781,1
race,African-American,0.6227059742288168,1
race,Hispanic,0.7307692307692307,1
sex,male,0.632996632996633,1
sex,female,0.53125,1
race,African-American,0.6904329789992222,2
race,Other,0.9444444444444444,2
race,Caucasian,0.7296747967479674,2
race,Hispanic,0.7941176470588235,2
sex,male,0.7347841065686724,2
sex,female,0.5249999999999999,2
race,African-American,0.6942294159042928,3
race,Caucasian,0.7091346153846154,3
race,Hispanic,0.1607142857142857,3
race,Other,0.96875,3
sex,male,0.6960111236638569,3
sex,female,0.7458333333333333,3
