Attribute,Attribute Value,AUC,fold_num
race,Other,0.3846153846153846,1
race,Caucasian,0.588963963963964,1
race,African-American,0.5761627906976744,1
race,Hispanic,0.6956521739130436,1
sex,male,0.6025089605734767,1
sex,female,0.40625,1
race,African-American,0.5255813953488372,2
race,Other,0.5416666666666666,2
race,Caucasian,0.5623873873873874,2
race,Hispanic,0.596153846153846,2
sex,male,0.5475836431226766,2
sex,female,0.5387596899224806,2
race,African-American,0.5670398507263761,3
race,Caucasian,0.5493052442850739,3
race,Hispanic,0.75,3
race,Other,0.30000000000000004,3
sex,male,0.5588972431077694,3
sex,female,0.5765765765765765,3
race,Caucasian,0.6764705882352942,4
race,African-American,0.6199415204678362,4
race,Hispanic,0.923076923076923,4
race,Other,0.5288461538461539,4
sex,male,0.6526252682064874,4
sex,female,0.6615646258503401,4
