Attribute,Attribute Value,AUC,fold_num
race,Other,0.423076923076923,1
race,Caucasian,0.6328828828828829,1
race,African-American,0.5746770025839794,1
race,Hispanic,0.75,1
sex,male,0.6198028673835125,1
sex,female,0.4375,1
race,African-American,0.5498837209302325,2
race,Other,0.65625,2
race,Caucasian,0.681081081081081,2
race,Hispanic,0.7628205128205128,2
sex,male,0.610833775889538,2
sex,female,0.6046511627906976,2
race,African-American,0.5929628148740503,3
race,Caucasian,0.6458987001344688,3
race,Hispanic,0.8055555555555556,3
race,Other,0.5666666666666667,3
sex,male,0.6061821219715956,3
sex,female,0.7882882882882882,3
race,Caucasian,0.6710084033613445,4
race,African-American,0.6065497076023392,4
race,Hispanic,0.9519230769230769,4
race,Other,0.6730769230769231,4
sex,male,0.6571690016407926,4
sex,female,0.5935374149659864,4
