Attribute,Attribute Value,AUC,fold_num
race,Other,0.6923076923076923,1
race,Caucasian,0.6711309523809524,1
race,African-American,0.6378584583004472,1
race,Hispanic,0.75,1
sex,male,0.6699017046161503,1
sex,female,0.6574468085106383,1
race,African-American,0.5801162790697674,2
race,Other,0.6041666666666667,2
race,Caucasian,0.6947838345864662,2
race,Hispanic,0.7051282051282051,2
sex,male,0.6280730005367685,2
sex,female,0.640826873385013,2
race,African-American,0.5984939357590296,3
race,Caucasian,0.5405647691618107,3
race,Hispanic,0.9444444444444445,3
race,Other,0.2444444444444444,3
sex,male,0.5759676970203285,3
sex,female,0.7117117117117117,3
race,Caucasian,0.6491596638655462,4
race,African-American,0.6254663155584814,4
race,Hispanic,0.9423076923076924,4
race,Other,0.7115384615384616,4
sex,male,0.6617207131745841,4
sex,female,0.6003401360544217,4
