Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5966981132075472,0
race,Hispanic,0.4210526315789474,0
race,Caucasian,0.5858503401360544,0
race,Other,0.376984126984127,0
sex,male,0.5780836512355225,0
sex,female,0.6209677419354839,0
race,Other,0.7666666666666667,1
race,Caucasian,0.5956639566395663,1
race,African-American,0.6095265029088559,1
race,Hispanic,0.5058823529411764,1
sex,male,0.6240904274108089,1
sex,female,0.5954954954954954,1
race,African-American,0.5968174068360802,2
race,Other,0.46590909090909083,2
race,Caucasian,0.6267188240872452,2
race,Hispanic,0.6499999999999999,2
sex,male,0.5913568643831801,2
sex,female,0.6890624999999999,2
race,African-American,0.6542082169924213,3
race,Caucasian,0.5599547511312217,3
race,Hispanic,0.7916666666666666,3
race,Other,0.47500000000000003,3
sex,male,0.6284567350579839,3
sex,female,0.6428571428571428,3
race,Caucasian,0.70843776106934,4
race,African-American,0.6211164343786295,4
race,Hispanic,0.6333333333333333,4
race,Other,0.76875,4
sex,male,0.6427027027027028,4
sex,female,0.7555096418732782,4
