Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6302135054617677,0
race,Hispanic,0.5368421052631579,0
race,Caucasian,0.5956218103679828,0
race,Other,0.42063492063492064,0
sex,male,0.6136659807956104,0
sex,female,0.6158088235294117,0
race,Other,0.8444444444444444,1
race,Caucasian,0.6476190476190476,1
race,African-American,0.6461675579322638,1
race,Hispanic,0.4941176470588235,1
sex,male,0.6537747966319396,1
sex,female,0.6163194444444445,1
race,African-American,0.6420454545454546,2
race,Other,0.5444444444444445,2
race,Caucasian,0.6564722617354197,2
race,Hispanic,0.7444444444444445,2
sex,male,0.6304907761921336,2
sex,female,0.7875000000000001,2
race,African-American,0.7043023627075352,3
race,Caucasian,0.5902562658406083,3
race,Hispanic,0.761904761904762,3
race,Other,0.44375000000000003,3
sex,male,0.6622295623451694,3
sex,female,0.6736453201970443,3
race,Caucasian,0.7115705931495405,4
race,African-American,0.6559011164274322,4
race,Hispanic,0.5305555555555556,4
race,Other,0.7134502923976608,4
sex,male,0.6558213028801263,4
sex,female,0.7224517906336089,4
