Attribute,Attribute Value,AUC,fold_num
race,Other,0.23076923076923073,1
race,Caucasian,0.7311676082862523,1
race,African-American,0.7447110423116615,1
race,Hispanic,0.94,1
sex,male,0.7469568213137345,1
sex,female,0.6258503401360543,1
race,African-American,0.7602722772277227,2
race,Other,0.7941176470588235,2
race,Caucasian,0.7536630036630036,2
race,Hispanic,0.6323529411764706,2
sex,male,0.7561716489874639,2
sex,female,0.6614583333333334,2
race,Caucasian,0.8090659340659341,4
race,African-American,0.7459825912286575,4
race,Hispanic,0.9230769230769231,4
race,Other,1.0,4
sex,male,0.7846989966555185,4
sex,female,0.78,4
