Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5971764705882353,0
race,Hispanic,0.5238095238095237,0
race,Caucasian,0.625,0
race,Other,0.5921052631578948,0
sex,male,0.6057037768994291,0
sex,female,0.7033492822966507,0
race,Other,0.5757575757575757,1
race,Caucasian,0.6159029649595688,1
race,African-American,0.6416842599108609,1
race,Hispanic,0.6630434782608696,1
sex,male,0.6391396707381837,1
sex,female,0.653968253968254,1
race,African-American,0.7167020207658814,2
race,Other,0.7166666666666667,2
race,Caucasian,0.7575471698113206,2
race,Hispanic,0.7435897435897436,2
sex,male,0.7192037581854418,2
sex,female,0.7971014492753623,2
race,African-American,0.657599455967358,3
race,Caucasian,0.7328533535430087,3
race,Hispanic,0.717948717948718,3
race,Other,0.611111111111111,3
sex,male,0.6728248713934242,3
sex,female,0.8397435897435896,3
race,Caucasian,0.7639240506329114,4
race,African-American,0.6148144308521667,4
race,Hispanic,0.9259259259259259,4
race,Other,0.8173913043478261,4
sex,male,0.6839881706801859,4
sex,female,0.619047619047619,4
