,,,violent,drug,burglary/fraud,drinking/driving,I'm not sure,stalking,prostitution,stuff homeless people do,weird misdemeanors,weapons,driving
Aggravated Assault w/Firearm,,,x,,,,,,,,,,
Felony Battery w/Prior Convict,,,x,,,,,,,,,,
Possession of Cocaine,,,,x,,,,,,,,,
Possession of Cannabis,,,,x,,,,,,,,,
arrest case no charge,,,,,,,,,,,,,
Battery,,,x,,,,,,,,,,
Possession Burglary Tools,,,,,x,,,,,,,,
Insurance Fraud,,,,,x,,,,,,,,
"Poss 3,4 MDMA (Ecstasy)",,,,x,,,,,,,,,
"Poss3,4 Methylenedioxymethcath",,,,x,,,,,,,,,
Felony Driving While Lic Suspd,,,,,,x,,,,,,,
Grand Theft in the 3rd Degree,,,,,x,,,,,,,,
Driving While License Revoked,,,,,,x,,,,,,,
Possession Of Heroin,,,,x,,,,,,,,,
Battery on Law Enforc Officer,,,x,,,,,,,,,,
Possession Of Methamphetamine,,,,x,,,,,,,,,
Introduce Contraband Into Jail,,,,,x,,,,,,,,
Lewd/Lasc Battery Pers 12+/<16,,,x,,,,,,,,,,
Susp Drivers Lic 1st Offense,,,,,,x,,,,,,,
Carrying Concealed Firearm,,,,,,,,,,,,x,
Pos Cannabis W/Intent Sel/Del,,,,x,,,,,,,,,
Tampering With Physical Evidence,,,,,,,?,,,,,,
Att Tamper w/Physical Evidence,,,,,,,?,,,,,,
Agg Fleeing and Eluding,,,,,,,?,,,,,,
Operating W/O Valid License,,,,,,x,,,,,,,
Poss Wep Conv Felon,,,,,,,,,,,,x,
Possess Cannabis/20 Grams Or Less,,,,x,,,,,,,,,
Unlaw Use False Name/Identity,,,,,x,,,,,,,,
Viol Injunct Domestic Violence,,,x,,,,,,,,,,
Defrauding Innkeeper $300/More,,,,,x,,,,,,,,
Uttering a Forged Instrument,,,,,x,,,,,,,,
DUI Level 0.15 Or Minor In Veh,,,,x,,,,,,,,,
Driving License Suspended,,,,,,,,,,,,,x
Possession of Oxycodone,,,,x,,,,,,,,,
Attempt Armed Burglary Dwell,,,,,x,,,,,,,,
Poss Tetrahydrocannabinols,,,,x,,,,,,,,,
Possess Drug Paraphernalia,,,,x,,,,,,,,,
Poss Firearm W/Altered ID#,,,,,,,,,,,,x,
Sell Conterfeit Cont Substance,,,,,x,,,,,,,,
Unlaw LicTag/Sticker Attach,,,,,,,,,,,,,x
Aggravated Battery / Pregnant,,,x,,,,,,,,,,
Burglary Structure Unoccup,,,,,x,,,,,,,,
False Name By Person Arrest,,,,,x,,,,,,,,
Poss Cocaine/Intent To Del/Sel,,,,x,,,,,,,,,
Burglary Dwelling Assault/Batt,,,x,,x,,,,,,,,
Felony Battery (Dom Strang),,,x,,,,,,,,,,
Attempted Burg/struct/unocc,,,,,x,,,,,,,,
Deliver Cocaine,,,,x,,,,,,,,,
Possession Of Alprazolam,,,,x,,,,,,,,,
Flee/Elude LEO-Agg Flee Unsafe,,,,,,,?,,,,,,
Fail To Redeliv Hire/Leas Prop,,,,,x,,,,,,,,
Aggravated Assault W/Dead Weap,,,x,,,,,,,,,,
False Ownership Info/Pawn Item,,,,,x,,,,,,,,
Possession of Morphine,,,,x,,,,,,,,,
