Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7348083667912686,0
race,Caucasian,0.7553329528702896,0
race,Other,0.7537777777777778,0
sex,male,0.7536888810396353,0
sex,female,0.7484026398888023,0
race,Caucasian,0.7529028972525122,1
race,Other,0.8094502005347594,1
race,African-American,0.770605220987814,1
sex,male,0.7597439575526759,1
sex,female,0.7473810452672666,1
race,African-American,0.7347697545242788,2
race,Caucasian,0.7604935479023488,2
race,Other,0.726185032769395,2
sex,male,0.7548166094596509,2
sex,female,0.7631505770426845,2
race,Caucasian,0.7549672289423759,3
race,African-American,0.7347534066343779,3
race,Other,0.6279092071611253,3
sex,male,0.754788996799766,3
sex,female,0.743416518532118,3
race,Caucasian,0.757418679387367,4
race,Other,0.5500274725274725,4
race,African-American,0.7452899240137834,4
sex,female,0.7562385152248331,4
sex,male,0.7533846028919731,4
