Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6793707236612619,0
race,Caucasian,0.6839370771038825,0
race,Other,0.800132802124834,0
sex,male,0.6786225985373258,0
sex,female,0.7012040878896271,0
race,Caucasian,0.694430764050335,1
race,Other,0.8318095238095239,1
race,African-American,0.746316588184524,1
sex,male,0.7024955030765758,1
sex,female,0.7078505793461723,1
race,African-American,0.7113641257036287,2
race,Caucasian,0.6990460406872596,2
race,Other,0.7112131289762869,2
sex,male,0.6948516340699536,2
sex,female,0.7191832283899481,2
race,Caucasian,0.7002464929454444,3
race,African-American,0.7226869749281201,3
race,Other,0.7005975245411865,3
sex,male,0.699587986826362,3
sex,female,0.7168639982798939,3
race,Caucasian,0.6702878623530089,4
race,Other,0.7313432835820896,4
race,African-American,0.6571518688785536,4
sex,female,0.680191919986898,4
sex,male,0.666026283552561,4
