Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7557679889505734,0
race,Caucasian,0.7592962978301631,0
race,Other,0.706820163963021,0
sex,male,0.7638735415703609,0
sex,female,0.742306044586708,0
race,Caucasian,0.7563507866654192,1
race,Other,0.7824866154562383,1
race,African-American,0.7869616003727707,1
sex,male,0.7697666549122273,1
sex,female,0.7382016935212126,1
race,African-American,0.7770368288012706,2
race,Caucasian,0.762417729446754,2
race,Other,0.7719453840442208,2
sex,male,0.7655500386472611,2
sex,female,0.7629578635320338,2
race,Caucasian,0.7686972718947211,3
race,African-American,0.7685427124497322,3
race,Other,0.7080652573529411,3
sex,male,0.7718456229180233,3
sex,female,0.7580493099752228,3
race,Caucasian,0.7626858728351406,4
race,Other,0.7121481526128624,4
race,African-American,0.7555946101159179,4
sex,female,0.7411054681586083,4
sex,male,0.7698530358879792,4
