Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6907666154347725,1
race,Caucasian,0.7083311770133573,1
race,Other,0.6302525832376579,1
sex,male,0.7071859713631933,1
sex,female,0.7005149679054349,1
race,Caucasian,0.7081157846668016,2
race,Other,0.7106699958385352,2
race,African-American,0.7029511932051171,2
sex,male,0.7134757890111584,2
sex,female,0.6957480724636729,2
race,African-American,0.6928712216663965,3
race,Caucasian,0.7107091695723344,3
race,Other,0.6487015450406952,3
sex,male,0.7095519717496328,3
sex,female,0.7038328950003919,3
race,Caucasian,0.7124901245036082,4
race,African-American,0.6962749072720659,4
race,Other,0.5912539333591964,4
sex,male,0.7090118938572352,4
sex,female,0.7099552554613693,4
race,Caucasian,0.7106737710195017,5
race,Other,0.6390432488563331,5
race,African-American,0.6774665668737665,5
sex,female,0.7071652341486467,5
sex,male,0.704268579516208,5
