Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6930403525295787,0
race,Caucasian,0.7121625294801754,0
race,Other,0.6424384371810641,0
sex,male,0.7121835845375933,0
sex,female,0.7033261792488306,0
race,Caucasian,0.7143454905415854,1
race,Other,0.7322567783094098,1
race,African-American,0.7267863441154061,1
sex,male,0.7228332142299012,1
sex,female,0.7088757516948134,1
race,African-American,0.7149675281772193,2
race,Caucasian,0.7152027195338431,2
race,Other,0.7051740581783499,2
sex,male,0.7155708358992328,2
sex,female,0.7189396689197274,2
race,Caucasian,0.7213743898848324,3
race,African-American,0.7170366275614708,3
race,Other,0.6344102564102564,3
sex,male,0.7184970900423767,3
sex,female,0.7286692460987014,3
race,Caucasian,0.7195766292870072,4
race,Other,0.6357315455320762,4
race,African-American,0.713498664964012,4
sex,female,0.7143752825185864,4
sex,male,0.7211995151131807,4
