Attribute,Attribute Value,AUC,fold_num
race,African-American,0.793019453194508,0
race,Caucasian,0.7955512233202238,0
race,Other,0.9961190168175937,0
sex,male,0.7937519098927048,0
sex,female,0.787146326390767,0
race,Caucasian,0.7951741285904739,1
race,Other,0.9811651335961454,1
race,African-American,0.7924146804730102,1
sex,male,0.8000868742749487,1
sex,female,0.7792653871209014,1
race,African-American,0.7849456164184587,2
race,Caucasian,0.7923835545572233,2
race,Other,0.9798387096774194,2
sex,male,0.7944578276197403,2
sex,female,0.7829054822517338,2
race,Caucasian,0.8125591570979112,4
race,Other,0.8533452807646356,4
race,African-American,0.8242446092102579,4
sex,female,0.7963073459472063,4
sex,male,0.8193319381254599,4
