Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.23896765523139255,1
race,African-American,0,0.13064812676618012,1
race,Caucasian,0,0.12327941874000986,1
race,Caucasian,1,0.23966826859200308,1
race,Other,0,0.10833759716006972,1
race,Other,1,0.1824964799361355,1
sex,male,1,0.23873525274361412,1
sex,male,0,0.12480847323605647,1
sex,female,0,0.12279892924091843,1
sex,female,1,0.23959128597100365,1
race,Caucasian,1,0.23750343572244625,2
race,Caucasian,0,0.12426774809571167,2
race,Other,1,0.21691698841772605,2
race,Other,0,0.11291978677324542,2
race,African-American,0,0.12899815887284957,2
race,African-American,1,0.24465919233986708,2
sex,male,1,0.24319739248741618,2
sex,male,0,0.12516438671771155,2
sex,female,0,0.12409509459313267,2
sex,female,1,0.22636589379405447,2
race,African-American,0,0.12974853591986307,3
race,African-American,1,0.23804230705499846,3
race,Caucasian,0,0.12400167299296506,3
race,Caucasian,1,0.23930496390200448,3
race,Other,0,0.10673203814495189,3
race,Other,1,0.18837682065354533,3
sex,male,0,0.12453077809236299,3
sex,male,1,0.23928193877772777,3
sex,female,0,0.12473213526220944,3
sex,female,1,0.23710217112865156,3
race,Caucasian,0,0.12431946252841099,4
race,Caucasian,1,0.24236206234877097,4
race,African-American,0,0.1306347526250224,4
race,African-American,1,0.2400268019877372,4
race,Other,0,0.10891181120831947,4
race,Other,1,0.1694513945023936,4
sex,male,0,0.1256040509371325,4
sex,male,1,0.24454399163203275,4
sex,female,0,0.12375943565217772,4
sex,female,1,0.2325265274620743,4
race,Caucasian,0,0.12370567281913719,5
race,Caucasian,1,0.24151494362572914,5
race,Other,1,0.16662734676232854,5
race,Other,0,0.11196960941324507,5
race,African-American,0,0.13237370133627305,5
race,African-American,1,0.23714708167140405,5
sex,female,0,0.12416702592435698,5
sex,female,1,0.24259456717534167,5
sex,male,0,0.12529224418214255,5
sex,male,1,0.238718985988736,5
