Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.07266609597238606,0
race,African-American,0,0.018447115051918643,0
race,Caucasian,0,0.016653814176633145,0
race,Caucasian,1,0.07081315847263568,0
race,Other,0,0.004169676389923143,0
race,Other,1,0.05079876434358265,0
sex,male,1,0.07419620146009985,0
sex,male,0,0.017988368087681266,0
sex,female,0,0.013717394129382153,0
sex,female,1,0.06259035869557524,0
race,Caucasian,0,0.016156492938171393,1
race,Caucasian,1,0.0646696433592082,1
race,Other,1,0.03183804960631354,1
race,Other,0,0.006378626359140859,1
race,African-American,0,0.017074168203315136,1
race,African-American,1,0.08375014471992986,1
sex,male,0,0.017405584558848376,1
sex,male,1,0.07274205499752537,1
sex,female,0,0.01317375348656392,1
sex,female,1,0.05430055765407108,1
race,African-American,0,0.017833951157728744,2
race,African-American,1,0.06231871587459581,2
race,Caucasian,0,0.016514276307909727,2
race,Caucasian,1,0.07240094535791071,2
race,Other,0,0.005672846404752639,2
race,Other,1,0.031115419451797268,2
sex,male,0,0.01759183103858534,2
sex,male,1,0.07304989929551642,2
sex,female,0,0.0140303650265395,2
sex,female,1,0.06333240683041609,2
race,Caucasian,0,0.016795044900601252,3
race,Caucasian,1,0.07235776927614145,3
race,African-American,0,0.01803568815696762,3
race,African-American,1,0.06576015992578438,3
race,Other,0,0.006897808208375776,3
race,Other,1,0.02570988586302079,3
sex,male,0,0.017886880344615268,3
sex,male,1,0.07802710499019262,3
sex,female,0,0.01423725658035772,3
sex,female,1,0.05216975554383143,3
race,Caucasian,0,0.016720580725387638,4
race,Caucasian,1,0.07086755416684129,4
race,Other,0,0.006425677853505205,4
race,Other,1,0.021191089617036862,4
race,African-American,0,0.018613573847590444,4
race,African-American,1,0.07439679814628683,4
sex,female,0,0.014538778976067975,4
sex,female,1,0.05986725423374439,4
sex,male,0,0.017842352330151967,4
sex,male,1,0.07545964699551663,4
