Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.008250114456692752,0
race,African-American,1,0.08079307613941657,0
race,Caucasian,0,0.004010660597562687,0
race,Caucasian,1,0.06851266495796131,0
race,Other,0,0.0012775046288396033,0
race,Other,1,0.026808296937534375,0
sex,male,0,0.005973276152390635,0
sex,male,1,0.07624335132974043,0
sex,female,0,0.0017484044205598119,0
sex,female,1,0.04752371534932309,0
race,Caucasian,0,0.004213834486585354,1
race,Caucasian,1,0.06747705954283473,1
race,Other,0,0.0020924624864392303,1
race,Other,1,0.07912868879769497,1
race,African-American,0,0.007997609430800693,1
race,African-American,1,0.0780231351864869,1
sex,male,0,0.006277025881938822,1
sex,male,1,0.07811724400630089,1
sex,female,0,0.0015819815350929898,1
sex,female,1,0.038667123231347356,1
race,African-American,0,0.00716220659217634,2
race,African-American,1,0.0725220448973131,2
race,Caucasian,0,0.004138625593460178,2
race,Caucasian,1,0.06617312581718249,2
race,Other,0,0.0013801667604277674,2
race,Other,1,0.0595663737193568,2
sex,male,0,0.005763279058250999,2
sex,male,1,0.07226411384262615,2
sex,female,0,0.0019846385311513503,2
sex,female,1,0.047969559506556944,2
race,Caucasian,0,0.004612717364702464,3
race,Caucasian,1,0.07457922067875179,3
race,African-American,0,0.008426942682141657,3
race,African-American,1,0.07842749659346483,3
race,Other,0,0.0023616820887889397,3
race,Other,1,0.02631378950882628,3
sex,male,0,0.006681731770362843,3
sex,male,1,0.08409523172571871,3
sex,female,0,0.0018884386333001954,3
sex,female,1,0.03176441991935349,3
race,Caucasian,0,0.004447785884002486,4
race,Caucasian,1,0.05906588890681893,4
race,Other,1,0.0595582066721932,4
race,Other,0,0.0017204644134670723,4
race,African-American,0,0.007870543348927379,4
race,African-American,1,0.08372195666538416,4
sex,female,0,0.00213656886266223,4
sex,female,1,0.04805673871322489,4
sex,male,0,0.006256232633999531,4
sex,male,1,0.06986481696305208,4
