Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.001565057253968525,0
race,African-American,1,0.01769279432289214,0
race,Caucasian,0,0.0013760088956832266,0
race,Caucasian,1,0.011792586956695938,0
race,Other,0,0.00020582642835751148,0
race,Other,1,0.006378418528269328,0
sex,male,0,0.001651406047113262,0
sex,male,1,0.01324868792948216,0
sex,female,0,0.0007756919532687532,0
sex,female,1,0.010963999796805176,0
race,Caucasian,0,0.0012868614480672348,1
race,Caucasian,1,0.01406550407163619,1
race,Other,0,0.00029987906893009364,1
race,Other,1,0.004425285456466788,1
race,African-American,0,0.0015378932137089549,1
race,African-American,1,0.012028074850984043,1
sex,male,0,0.001605753056514842,1
sex,male,1,0.015488885307416494,1
sex,female,0,0.0006444007993157518,1
sex,female,1,0.0074013745321580855,1
race,African-American,0,0.0018242035710320345,2
race,African-American,1,0.008528767317002209,2
race,Caucasian,0,0.00148927689218192,2
race,Caucasian,1,0.008548868284770883,2
race,Other,0,0.00022688458896721387,2
race,Other,1,0.008950016609488977,2
sex,male,0,0.0019001499001011848,2
sex,male,1,0.00949654739489558,2
sex,female,0,0.0006613343228633875,2
sex,female,1,0.005593760089936406,2
race,Caucasian,0,0.001470428077232803,3
race,Caucasian,1,0.012118310916870592,3
race,African-American,1,0.01561570267400896,3
race,African-American,0,0.0014059605655349764,3
race,Other,0,0.0014159206460047228,3
sex,male,0,0.0017772631731462945,3
sex,male,1,0.01427249404442864,3
sex,female,0,0.000731812005786633,3
sex,female,1,0.006260946671684036,3
race,Caucasian,0,0.0015428559973163604,4
race,Caucasian,1,0.013469913406100854,4
race,Other,0,0.00037162683820694527,4
race,Other,1,0.011430815367148333,4
race,African-American,0,0.0015226005032336338,4
race,African-American,1,0.016825686983400277,4
sex,female,0,0.0007593195307695669,4
sex,female,1,0.00693337021342467,4
sex,male,0,0.0018517328769905644,4
sex,male,1,0.016261319192989815,4
