Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.24685955320218808,1
race,African-American,0,0.08140671265672085,1
race,Caucasian,0,0.0675776533522332,1
race,Caucasian,1,0.20888174739591814,1
race,Other,0,0.045683029442788334,1
race,Other,1,0.19785813460104398,1
sex,male,1,0.22905214319293898,1
sex,male,0,0.07483440919586716,1
sex,female,0,0.05746597841486835,1
sex,female,1,0.16959967142592,1
race,Caucasian,0,0.055249813977317534,2
race,Caucasian,1,0.19770760457940612,2
race,Other,0,0.031069716460874905,2
race,Other,1,0.16957128861785484,2
race,African-American,0,0.06371413433350243,2
race,African-American,1,0.2191438745835279,2
sex,male,0,0.07065348292914776,2
sex,male,1,0.22798912455647435,2
sex,female,0,0.02470352364561741,2
sex,female,1,0.09777040464558248,2
race,African-American,0,0.08265548372373721,3
race,African-American,1,0.2410669482763655,3
race,Caucasian,0,0.06726538511598082,3
race,Caucasian,1,0.2087348070495919,3
race,Other,0,0.04672685376110836,3
race,Other,1,0.23502365944447257,3
sex,male,0,0.07486113229688296,3
sex,male,1,0.2210307762367303,3
sex,female,0,0.05747314966191084,3
sex,female,1,0.20060204781875984,3
race,Caucasian,0,0.06755393619134548,4
race,Caucasian,1,0.2131172740948093,4
race,African-American,0,0.08351334693147103,4
race,African-American,1,0.251970448712169,4
race,Other,0,0.05139099234060815,4
race,Other,1,0.2063097518586715,4
sex,male,0,0.07557658245516923,4
sex,male,1,0.2320491259075739,4
sex,female,0,0.057197779171526186,4
sex,female,1,0.18037237182374177,4
race,Caucasian,0,0.05480941597962642,5
race,Caucasian,1,0.1888141334732252,5
race,Other,1,0.1532399369125184,5
race,Other,0,0.03244654281701886,5
race,African-American,0,0.066078985498599,5
race,African-American,1,0.21622127567743696,5
sex,female,0,0.02544285467858079,5
sex,female,1,0.10048074238605038,5
sex,male,0,0.07041233794317936,5
sex,male,1,0.2193826446481032,5
