Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Asian,0.0,0.1,0.025,40,0
race,Caucasian,0.0,0.1,0.02515195975686439,14313,0
race,African-American,0.0,0.1,0.014961101137043686,3342,0
race,Other,0.0,0.1,0.006622516556291391,302,0
race,Indian,0.0,0.1,0.0,18,0
race,Caucasian,0.0,0.1,0.025,14760,1
race,African-American,0.0,0.1,0.014934471197805547,3281,1
race,Other,0.0,0.1,0.013468013468013467,297,1
race,Indian,0.0,0.1,0.0,15,1
race,Asian,0.0,0.1,0.023255813953488372,43,1
race,Caucasian,0.0,0.1,0.02490421455938697,14616,2
race,African-American,0.0,0.1,0.018053855569155446,3268,2
race,Asian,0.0,0.1,0.0,46,2
race,Indian,0.0,0.1,0.0,19,2
race,Other,0.0,0.1,0.0,322,2
race,African-American,0.0,0.1,0.011532625189681336,3295,3
race,Caucasian,0.0,0.1,0.024780340472267983,14568,3
race,Indian,0.0,0.1,0.0,15,3
race,Other,0.0,0.1,0.005917159763313609,338,3
race,Asian,0.0,0.1,0.023255813953488372,43,3
race,Caucasian,0.0,0.1,0.022228416138248205,14351,4
race,African-American,0.0,0.1,0.015985244389794036,3253,4
race,Asian,0.0,0.1,0.0,54,4
race,Other,0.0,0.1,0.006779661016949152,295,4
race,Indian,0.0,0.1,0.0,11,4
race,Asian,0.1,0.2,0.0,6,0
race,Caucasian,0.1,0.2,0.11008230452674897,972,0
race,African-American,0.1,0.2,0.10365853658536585,164,0
race,Other,0.1,0.2,0.0,13,0
race,Indian,0.1,0.2,0.0,1,0
race,Caucasian,0.1,0.2,0.10526315789473684,684,1
race,African-American,0.1,0.2,0.0761904761904762,105,1
race,Other,0.1,0.2,0.0,3,1
race,Indian,0.1,0.2,,0,1
race,Asian,0.1,0.2,0.0,1,1
race,Caucasian,0.1,0.2,0.08608321377331421,697,2
race,African-American,0.1,0.2,0.09774436090225563,133,2
race,Asian,0.1,0.2,0.25,4,2
race,Indian,0.1,0.2,,0,2
race,Other,0.1,0.2,0.08695652173913043,23,2
race,African-American,0.1,0.2,0.12307692307692308,130,3
race,Caucasian,0.1,0.2,0.10613810741687979,782,3
race,Indian,0.1,0.2,,0,3
race,Other,0.1,0.2,0.0,4,3
race,Asian,0.1,0.2,0.0,3,3
race,Caucasian,0.1,0.2,0.12884615384615383,1040,4
race,African-American,0.1,0.2,0.10857142857142857,175,4
race,Asian,0.1,0.2,0.0,2,4
race,Other,0.1,0.2,0.09090909090909091,11,4
race,Indian,0.1,0.2,,0,4
race,Asian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,4,0
race,African-American,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Indian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,4,1
race,African-American,0.2,0.3,0.0,1,1
race,Other,0.2,0.3,,0,1
race,Indian,0.2,0.3,,0,1
race,Asian,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.10909090909090909,55,2
race,African-American,0.2,0.3,0.2222222222222222,9,2
race,Asian,0.2,0.3,,0,2
race,Indian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Indian,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Asian,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,2,4
race,African-American,0.2,0.3,,0,4
race,Asian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Indian,0.2,0.3,,0,4
race,Asian,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.19047619047619047,21,0
race,African-American,0.3,0.4,0.0,2,0
race,Other,0.3,0.4,,0,0
race,Indian,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Indian,0.3,0.4,,0,1
race,Asian,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Asian,0.3,0.4,,0,2
race,Indian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,African-American,0.3,0.4,0.0,2,3
race,Caucasian,0.3,0.4,0.3333333333333333,15,3
race,Indian,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Asian,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,5,4
race,African-American,0.3,0.4,0.0,1,4
race,Asian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Indian,0.3,0.4,,0,4
race,Asian,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Indian,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Indian,0.4,0.5,,0,1
race,Asian,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Asian,0.4,0.5,,0,2
race,Indian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Indian,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Asian,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Asian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,Indian,0.4,0.5,,0,4
race,Asian,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.0,1,0
