Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Asian,0.0,0.1,0.022727272727272728,44,0
race,Caucasian,0.0,0.1,0.03779705771407016,13255,0
race,African-American,0.0,0.1,0.0355718085106383,3008,0
race,Other,0.0,0.1,0.02,300,0
race,Indian,0.0,0.1,0.0,19,0
race,Caucasian,0.0,0.1,0.03511001668122964,12589,1
race,African-American,0.0,0.1,0.03001111522786217,2699,1
race,Other,0.0,0.1,0.0299625468164794,267,1
race,Indian,0.0,0.1,0.0,14,1
race,Asian,0.0,0.1,0.0,40,1
race,Caucasian,0.0,0.1,0.03583138173302108,12810,2
race,African-American,0.0,0.1,0.03411131059245961,2785,2
race,Asian,0.0,0.1,0.0,47,2
race,Indian,0.0,0.1,0.0,19,2
race,Other,0.0,0.1,0.031446540880503145,318,2
race,African-American,0.0,0.1,0.04001367989056088,2924,3
race,Caucasian,0.0,0.1,0.035580524344569285,13350,3
race,Indian,0.0,0.1,0.0,14,3
race,Other,0.0,0.1,0.01238390092879257,323,3
race,Asian,0.0,0.1,0.0,41,3
race,Caucasian,0.0,0.1,0.032032193158953726,12425,4
race,African-American,0.0,0.1,0.03144199494036863,2767,4
race,Asian,0.0,0.1,0.0,48,4
race,Other,0.0,0.1,0.0176678445229682,283,4
race,Indian,0.0,0.1,0.0,11,4
race,Asian,0.1,0.2,0.0,2,0
race,Caucasian,0.1,0.2,0.14953933380581147,1411,0
race,African-American,0.1,0.2,0.1408839779005525,362,0
race,Other,0.1,0.2,0.08333333333333333,12,0
race,Indian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.13330170777988615,2108,1
race,African-American,0.1,0.2,0.11904761904761904,504,1
race,Other,0.1,0.2,0.03125,32,1
race,Indian,0.1,0.2,1.0,1,1
race,Asian,0.1,0.2,0.0,3,1
race,Caucasian,0.1,0.2,0.12476007677543186,2084,2
race,African-American,0.1,0.2,0.1396761133603239,494,2
race,Asian,0.1,0.2,0.3333333333333333,3,2
race,Indian,0.1,0.2,,0,2
race,Other,0.1,0.2,0.08333333333333333,24,2
race,African-American,0.1,0.2,0.11886304909560723,387,3
race,Caucasian,0.1,0.2,0.14962121212121213,1584,3
race,Indian,0.1,0.2,0.0,1,3
race,Other,0.1,0.2,0.05555555555555555,18,3
race,Asian,0.1,0.2,0.0,4,3
race,Caucasian,0.1,0.2,0.14397496087636932,2556,4
race,African-American,0.1,0.2,0.13799283154121864,558,4
race,Asian,0.1,0.2,0.125,8,4
race,Other,0.1,0.2,0.0,21,4
race,Indian,0.1,0.2,,0,4
race,Asian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.23897058823529413,544,0
race,African-American,0.2,0.3,0.23387096774193547,124,0
race,Other,0.2,0.3,0.0,3,0
race,Indian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.20658682634730538,668,1
race,African-American,0.2,0.3,0.16265060240963855,166,1
race,Other,0.2,0.3,,0,1
race,Indian,0.2,0.3,,0,1
race,Asian,0.2,0.3,1.0,1,1
race,Caucasian,0.2,0.3,0.20809248554913296,346,2
race,African-American,0.2,0.3,0.16842105263157894,95,2
race,Asian,0.2,0.3,,0,2
race,Indian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.19767441860465115,86,3
race,Caucasian,0.2,0.3,0.22327044025157233,318,3
race,Indian,0.2,0.3,,0,3
race,Other,0.2,0.3,0.0,1,3
race,Asian,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.29261363636363635,352,4
race,African-American,0.2,0.3,0.25,80,4
race,Asian,0.2,0.3,,0,4
race,Other,0.2,0.3,0.0,1,4
race,Indian,0.2,0.3,,0,4
race,Asian,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.3384615384615385,65,0
race,African-American,0.3,0.4,0.3,10,0
race,Other,0.3,0.4,,0,0
race,Indian,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.2413793103448276,58,1
race,African-American,0.3,0.4,0.3333333333333333,15,1
race,Other,0.3,0.4,,0,1
race,Indian,0.3,0.4,,0,1
race,Asian,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,0.32653061224489793,98,2
race,African-American,0.3,0.4,0.19230769230769232,26,2
race,Asian,0.3,0.4,,0,2
race,Indian,0.3,0.4,,0,2
race,Other,0.3,0.4,0.0,2,2
race,African-American,0.3,0.4,0.35,20,3
race,Caucasian,0.3,0.4,0.3253012048192771,83,3
race,Indian,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Asian,0.3,0.4,0.0,1,3
race,Caucasian,0.3,0.4,0.0,10,4
race,African-American,0.3,0.4,0.3333333333333333,3,4
race,Asian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Indian,0.3,0.4,,0,4
race,Asian,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Indian,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.26666666666666666,15,1
race,African-American,0.4,0.5,0.0,1,1
race,Other,0.4,0.5,0.0,1,1
race,Indian,0.4,0.5,,0,1
race,Asian,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,0.24,25,2
race,African-American,0.4,0.5,0.0,2,2
race,Asian,0.4,0.5,,0,2
race,Indian,0.4,0.5,,0,2
race,Other,0.4,0.5,0.0,1,2
race,African-American,0.4,0.5,0.0,2,3
race,Caucasian,0.4,0.5,0.5,8,3
