Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.08161296546401697,5183,0
race,Caucasian,0.0,0.1,0.08274154932435174,24643,0
race,Other,0.0,0.1,0.0488771466314399,757,0
race,Caucasian,0.0,0.1,0.08543863952252473,24462,1
race,Other,0.0,0.1,0.049315068493150684,730,1
race,African-American,0.0,0.1,0.07850218589621745,5261,1
race,African-American,0.0,0.1,0.08945260347129506,5243,2
race,Caucasian,0.0,0.1,0.08263857822603603,24589,2
race,Other,0.0,0.1,0.03486750348675035,717,2
race,Caucasian,0.0,0.1,0.08627739614000654,24456,3
race,African-American,0.0,0.1,0.08309234625024099,5187,3
race,Other,0.0,0.1,0.05131578947368421,760,3
race,Caucasian,0.0,0.1,0.08347606231139384,24522,4
race,Other,0.0,0.1,0.05825242718446602,721,4
race,African-American,0.0,0.1,0.08517530487804878,5248,4
race,African-American,0.1,0.2,0.28720626631853785,383,0
race,Caucasian,0.1,0.2,0.2707823960880196,1636,0
race,Other,0.1,0.2,0.25,4,0
race,Caucasian,0.1,0.2,0.3057615516257844,1753,1
race,Other,0.1,0.2,0.2,15,1
race,African-American,0.1,0.2,0.29442970822281167,377,1
race,African-American,0.1,0.2,0.2935323383084577,402,2
race,Caucasian,0.1,0.2,0.29323758228605623,1671,2
race,Other,0.1,0.2,0.26666666666666666,15,2
race,Caucasian,0.1,0.2,0.29164161154539986,1663,3
race,African-American,0.1,0.2,0.26666666666666666,390,3
race,Other,0.1,0.2,0.16666666666666666,24,3
race,Caucasian,0.1,0.2,0.31087762669962915,1618,4
race,Other,0.1,0.2,0.2,15,4
race,African-American,0.1,0.2,0.29256594724220625,417,4
race,African-American,0.2,0.3,0.3170731707317073,164,0
race,Caucasian,0.2,0.3,0.35625,800,0
race,Other,0.2,0.3,0.2,10,0
race,Caucasian,0.2,0.3,0.36792452830188677,848,1
race,Other,0.2,0.3,0.5,8,1
race,African-American,0.2,0.3,0.39226519337016574,181,1
race,African-American,0.2,0.3,0.3894736842105263,190,2
race,Caucasian,0.2,0.3,0.3738562091503268,765,2
race,Other,0.2,0.3,0.16666666666666666,6,2
race,Caucasian,0.2,0.3,0.3905683192261185,827,3
race,African-American,0.2,0.3,0.3415841584158416,202,3
race,Other,0.2,0.3,0.09090909090909091,11,3
race,Caucasian,0.2,0.3,0.3611764705882353,850,4
race,Other,0.2,0.3,0.18181818181818182,11,4
race,African-American,0.2,0.3,0.31382978723404253,188,4
race,African-American,0.3,0.4,0.40594059405940597,101,0
race,Caucasian,0.3,0.4,0.3974630021141649,473,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.4267241379310345,464,1
race,Other,0.3,0.4,0.6666666666666666,3,1
race,African-American,0.3,0.4,0.3333333333333333,126,1
race,African-American,0.3,0.4,0.4,85,2
race,Caucasian,0.3,0.4,0.3991769547325103,486,2
race,Other,0.3,0.4,0.8,5,2
race,Caucasian,0.3,0.4,0.4003831417624521,522,3
race,African-American,0.3,0.4,0.2846153846153846,130,3
