Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Indian,0.0,0.1,,0,0
race,Asian,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Asian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Indian,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Indian,0.0,0.1,,0,2
race,Asian,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Asian,0.0,0.1,,0,3
race,Indian,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Asian,0.0,0.1,,0,4
race,Indian,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,,0,0
race,African-American,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Indian,0.1,0.2,,0,0
race,Asian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Asian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Indian,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Indian,0.1,0.2,,0,2
race,Asian,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Asian,0.1,0.2,,0,3
race,Indian,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,Asian,0.1,0.2,,0,4
race,Indian,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,0.028716216216216218,592,0
race,African-American,0.2,0.3,0.02857142857142857,70,0
race,Other,0.2,0.3,0.0,10,0
race,Indian,0.2,0.3,0.0,1,0
race,Asian,0.2,0.3,0.0,5,0
race,Caucasian,0.2,0.3,,0,1
race,Asian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Indian,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Indian,0.2,0.3,,0,2
race,Asian,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Asian,0.2,0.3,,0,3
race,Indian,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,1.0,1,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Asian,0.2,0.3,,0,4
race,Indian,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,0.04560848950101603,4429,0
race,African-American,0.3,0.4,0.038288288288288286,888,0
race,Other,0.3,0.4,0.013333333333333334,75,0
race,Indian,0.3,0.4,0.0,8,0
race,Asian,0.3,0.4,0.058823529411764705,17,0
race,Caucasian,0.3,0.4,0.03578816714935871,4834,1
race,Asian,0.3,0.4,0.0,26,1
race,African-American,0.3,0.4,0.042490118577075096,1012,1
race,Other,0.3,0.4,0.011235955056179775,89,1
race,Indian,0.3,0.4,0.0,8,1
race,Caucasian,0.3,0.4,0.03866432337434095,4552,2
race,African-American,0.3,0.4,0.029411764705882353,884,2
race,Other,0.3,0.4,0.0,79,2
race,Indian,0.3,0.4,0.125,8,2
race,Asian,0.3,0.4,0.0625,16,2
race,Caucasian,0.3,0.4,0.03911074516261836,4858,3
race,African-American,0.3,0.4,0.02631578947368421,950,3
race,Other,0.3,0.4,0.0,107,3
race,Asian,0.3,0.4,0.09523809523809523,21,3
race,Indian,0.3,0.4,0.08333333333333333,12,3
race,Caucasian,0.3,0.4,0.03391267486222976,4718,4
race,African-American,0.3,0.4,0.042643923240938165,938,4
race,Other,0.3,0.4,0.010869565217391304,92,4
race,Asian,0.3,0.4,0.0,14,4
race,Indian,0.3,0.4,0.0,3,4
race,Caucasian,0.4,0.5,0.07506361323155217,3930,0
