Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Asian,0.0,0.1,0.043478260869565216,46,0
race,Caucasian,0.0,0.1,0.06299370732360424,14938,0
race,African-American,0.0,0.1,0.06240886555847186,3429,0
race,Other,0.0,0.1,0.025396825396825397,315,0
race,Indian,0.0,0.1,0.0,18,0
race,Caucasian,0.0,0.1,0.06304809992027638,15052,1
race,African-American,0.0,0.1,0.05752346351801393,3303,1
race,Other,0.0,0.1,0.023411371237458192,299,1
race,Indian,0.0,0.1,0.13333333333333333,15,1
race,Asian,0.0,0.1,0.06818181818181818,44,1
race,Caucasian,0.0,0.1,0.06254594052789843,14965,2
race,African-American,0.0,0.1,0.06259449652252796,3307,2
race,Asian,0.0,0.1,0.0,49,2
race,Indian,0.0,0.1,0.05263157894736842,19,2
race,Other,0.0,0.1,0.023255813953488372,344,2
race,African-American,0.0,0.1,0.05658682634730539,3340,3
race,Caucasian,0.0,0.1,0.06394959109800241,14918,3
race,Indian,0.0,0.1,0.0,15,3
race,Other,0.0,0.1,0.005865102639296188,341,3
race,Asian,0.0,0.1,0.022727272727272728,44,3
race,Caucasian,0.0,0.1,0.06442371752165223,15010,4
race,African-American,0.0,0.1,0.05847076461769116,3335,4
race,Asian,0.0,0.1,0.08928571428571429,56,4
race,Other,0.0,0.1,0.013157894736842105,304,4
race,Indian,0.0,0.1,0.0,11,4
race,Asian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.25112107623318386,223,0
race,African-American,0.1,0.2,0.3404255319148936,47,0
race,Other,0.1,0.2,,0,0
race,Indian,0.1,0.2,0.0,1,0
race,Caucasian,0.1,0.2,0.20634920634920634,252,1
race,African-American,0.1,0.2,0.15789473684210525,57,1
race,Other,0.1,0.2,,0,1
race,Indian,0.1,0.2,,0,1
race,Asian,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,0.2894736842105263,266,2
race,African-American,0.1,0.2,0.2987012987012987,77,2
race,Asian,0.1,0.2,1.0,1,2
race,Indian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,African-American,0.1,0.2,0.2692307692307692,52,3
race,Caucasian,0.1,0.2,0.2508833922261484,283,3
race,Indian,0.1,0.2,,0,3
race,Other,0.1,0.2,0.0,1,3
race,Asian,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.2971887550200803,249,4
race,African-American,0.1,0.2,0.27692307692307694,65,4
race,Asian,0.1,0.2,,0,4
race,Other,0.1,0.2,1.0,2,4
race,Indian,0.1,0.2,,0,4
race,Asian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.41025641025641024,78,0
race,African-American,0.2,0.3,0.4117647058823529,17,0
race,Other,0.2,0.3,,0,0
race,Indian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.17142857142857143,70,1
