Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Asian,0.0,0.1,0.0,46,0
race,Caucasian,0.0,0.1,0.005208333333333333,15168,0
race,African-American,0.0,0.1,0.005185825410544511,3471,0
race,Other,0.0,0.1,0.0,315,0
race,Indian,0.0,0.1,0.0,19,0
race,Caucasian,0.0,0.1,0.004786257539994755,15252,1
race,African-American,0.0,0.1,0.003000300030003,3333,1
race,Other,0.0,0.1,0.0,299,1
race,Indian,0.0,0.1,0.0,15,1
race,Asian,0.0,0.1,0.0,44,1
race,Caucasian,0.0,0.1,0.005649717514124294,15222,2
race,African-American,0.0,0.1,0.005333333333333333,3375,2
race,Asian,0.0,0.1,0.0,50,2
race,Indian,0.0,0.1,0.0,19,2
race,Other,0.0,0.1,0.002898550724637681,345,2
race,African-American,0.0,0.1,0.009660421545667448,3416,3
race,Caucasian,0.0,0.1,0.005669599217986315,15345,3
race,Indian,0.0,0.1,0.0,15,3
race,Other,0.0,0.1,0.0,342,3
race,Asian,0.0,0.1,0.0,46,3
race,Caucasian,0.0,0.1,0.005460526315789474,15200,4
race,African-American,0.0,0.1,0.005608028335301062,3388,4
race,Asian,0.0,0.1,0.01818181818181818,55,4
race,Other,0.0,0.1,0.003289473684210526,304,4
race,Indian,0.0,0.1,0.0,11,4
race,Asian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.11267605633802817,142,0
race,African-American,0.1,0.2,0.05405405405405406,37,0
race,Other,0.1,0.2,,0,0
race,Indian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.10215053763440861,186,1
race,African-American,0.1,0.2,0.061224489795918366,49,1
race,Other,0.1,0.2,0.0,1,1
race,Indian,0.1,0.2,,0,1
race,Asian,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,0.11764705882352941,153,2
race,African-American,0.1,0.2,0.08823529411764706,34,2
race,Asian,0.1,0.2,,0,2
race,Indian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,African-American,0.1,0.2,0.0,1,3
race,Caucasian,0.1,0.2,0.0,1,3
race,Indian,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Asian,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.11458333333333333,192,4
race,African-American,0.1,0.2,0.1,40,4
race,Asian,0.1,0.2,0.0,1,4
race,Other,0.1,0.2,0.0,2,4
race,Indian,0.1,0.2,,0,4
race,Asian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,African-American,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Indian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0625,16,1
race,African-American,0.2,0.3,0.2,5,1
race,Other,0.2,0.3,,0,1
race,Indian,0.2,0.3,,0,1
race,Asian,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.0,3,2
race,African-American,0.2,0.3,0.0,1,2
race,Asian,0.2,0.3,,0,2
race,Indian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.0,10,3
race,Caucasian,0.2,0.3,0.09090909090909091,22,3
race,Indian,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Asian,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Asian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Indian,0.2,0.3,,0,4
race,Asian,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Indian,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Indian,0.3,0.4,,0,1
race,Asian,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Asian,0.3,0.4,,0,2
race,Indian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,African-American,0.3,0.4,0.0,1,3
race,Caucasian,0.3,0.4,0.0,2,3
race,Indian,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Asian,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Asian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Indian,0.3,0.4,,0,4
race,Asian,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Indian,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Indian,0.4,0.5,,0,1
race,Asian,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Asian,0.4,0.5,,0,2
race,Indian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Indian,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Asian,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Asian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,Indian,0.4,0.5,,0,4
race,Asian,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.0,3,0
race,African-American,0.5,0.6,0.0,1,0
race,Other,0.5,0.6,,0,0
race,Indian,0.5,0.6,,0,0
