Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Indian,0.0,0.1,,0,0
race,Asian,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Asian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Indian,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Indian,0.0,0.1,,0,2
race,Asian,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Asian,0.0,0.1,,0,3
race,Indian,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Asian,0.0,0.1,,0,4
race,Indian,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,0.0,245,0
race,African-American,0.1,0.2,0.0,28,0
race,Other,0.1,0.2,0.0,10,0
race,Indian,0.1,0.2,,0,0
race,Asian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.0,268,1
race,Asian,0.1,0.2,,0,1
race,African-American,0.1,0.2,0.0,24,1
race,Other,0.1,0.2,0.0,11,1
race,Indian,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,0.0,485,2
race,African-American,0.1,0.2,0.0,65,2
race,Other,0.1,0.2,0.0,13,2
race,Indian,0.1,0.2,,0,2
race,Asian,0.1,0.2,0.0,2,2
race,Caucasian,0.1,0.2,0.0,865,3
race,African-American,0.1,0.2,0.0,88,3
race,Other,0.1,0.2,0.0,25,3
race,Asian,0.1,0.2,0.0,3,3
race,Indian,0.1,0.2,0.0,3,3
race,Caucasian,0.1,0.2,0.0,249,4
race,African-American,0.1,0.2,0.0,24,4
race,Other,0.1,0.2,0.0,13,4
race,Asian,0.1,0.2,0.0,1,4
race,Indian,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,0.000791765637371338,3789,0
race,African-American,0.2,0.3,0.0,647,0
race,Other,0.2,0.3,0.0,102,0
race,Indian,0.2,0.3,0.0,9,0
race,Asian,0.2,0.3,0.0,18,0
race,Caucasian,0.2,0.3,0.0011120378092855157,3597,1
race,Asian,0.2,0.3,0.0,27,1
race,African-American,0.2,0.3,0.0,642,1
race,Other,0.2,0.3,0.0,91,1
race,Indian,0.2,0.3,0.0,8,1
race,Caucasian,0.2,0.3,0.0010435690060005217,3833,2
race,African-American,0.2,0.3,0.0014749262536873156,678,2
race,Other,0.2,0.3,0.0,125,2
race,Indian,0.2,0.3,0.0,6,2
race,Asian,0.2,0.3,0.0,13,2
race,Caucasian,0.2,0.3,0.0005509641873278236,3630,3
race,African-American,0.2,0.3,0.0,636,3
race,Other,0.2,0.3,0.0,133,3
race,Asian,0.2,0.3,0.0,14,3
race,Indian,0.2,0.3,0.0,10,3
race,Caucasian,0.2,0.3,0.00026399155227032733,3788,4
race,African-American,0.2,0.3,0.0015290519877675841,654,4
race,Other,0.2,0.3,0.0,114,4
race,Asian,0.2,0.3,0.0,9,4
race,Indian,0.2,0.3,0.0,4,4
race,Caucasian,0.3,0.4,0.0008603383997705764,3487,0
race,African-American,0.3,0.4,0.0024125452352231603,829,0
race,Other,0.3,0.4,0.0,119,0
race,Indian,0.3,0.4,0.0,1,0
race,Asian,0.3,0.4,0.0,9,0
race,Caucasian,0.3,0.4,0.0018685767673621925,3211,1
race,Asian,0.3,0.4,0.0,12,1
race,African-American,0.3,0.4,0.0,771,1
race,Other,0.3,0.4,0.0,121,1
race,Indian,0.3,0.4,0.0,1,1
race,Caucasian,0.3,0.4,0.0019954389965792475,3508,2
race,African-American,0.3,0.4,0.0012658227848101266,790,2
race,Other,0.3,0.4,0.0,112,2
race,Indian,0.3,0.4,0.0,5,2
race,Asian,0.3,0.4,0.0,8,2
race,Caucasian,0.3,0.4,0.0018087855297157622,3870,3
race,African-American,0.3,0.4,0.0022002200220022,909,3
race,Other,0.3,0.4,0.0,118,3
race,Asian,0.3,0.4,0.0,15,3
race,Indian,0.3,0.4,0.0,3,3
race,Caucasian,0.3,0.4,0.001474491300501327,3391,4
