Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Asian,0.0,0.1,0.06521739130434782,46,0
race,Caucasian,0.0,0.1,0.020191989407480966,15105,0
race,African-American,0.0,0.1,0.028930450029222676,3422,0
race,Other,0.0,0.1,0.0,315,0
race,Indian,0.0,0.1,0.0,19,0
race,Caucasian,0.0,0.1,0.01957831325301205,15272,1
race,African-American,0.0,0.1,0.028692237994563576,3311,1
race,Other,0.0,0.1,0.013333333333333334,300,1
race,Indian,0.0,0.1,0.0,15,1
race,Asian,0.0,0.1,0.0,44,1
race,Caucasian,0.0,0.1,0.019039462415178867,15179,2
race,African-American,0.0,0.1,0.03757138563270213,3327,2
race,Asian,0.0,0.1,0.0,50,2
race,Indian,0.0,0.1,0.0,19,2
race,Other,0.0,0.1,0.01749271137026239,343,2
race,African-American,0.0,0.1,0.024229733772061023,3343,3
race,Caucasian,0.0,0.1,0.018435607058203844,15188,3
race,Indian,0.0,0.1,0.0,15,3
race,Other,0.0,0.1,0.005865102639296188,341,3
race,Asian,0.0,0.1,0.022222222222222223,45,3
race,Caucasian,0.0,0.1,0.02063346037587068,15218,4
race,African-American,0.0,0.1,0.02944675788221297,3362,4
race,Asian,0.0,0.1,0.0,56,4
race,Other,0.0,0.1,0.013114754098360656,305,4
race,Indian,0.0,0.1,0.0,11,4
race,Asian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.3135593220338983,118,0
race,African-American,0.1,0.2,0.2,55,0
race,Other,0.1,0.2,,0,0
race,Indian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.2641509433962264,106,1
race,African-American,0.1,0.2,0.30303030303030304,33,1
race,Other,0.1,0.2,,0,1
race,Indian,0.1,0.2,,0,1
race,Asian,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,0.2641509433962264,106,2
race,African-American,0.1,0.2,0.22916666666666666,48,2
race,Asian,0.1,0.2,,0,2
race,Indian,0.1,0.2,,0,2
race,Other,0.1,0.2,0.0,2,2
race,African-American,0.1,0.2,0.22727272727272727,44,3
race,Caucasian,0.1,0.2,0.24107142857142858,112,3
race,Indian,0.1,0.2,,0,3
race,Other,0.1,0.2,0.0,1,3
race,Asian,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.2755102040816326,98,4
race,African-American,0.1,0.2,0.3888888888888889,36,4
race,Asian,0.1,0.2,,0,4
race,Other,0.1,0.2,1.0,1,4
race,Indian,0.1,0.2,,0,4
race,Asian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.29545454545454547,44,0
race,African-American,0.2,0.3,0.2222222222222222,9,0
race,Other,0.2,0.3,,0,0
race,Indian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.23809523809523808,42,1
race,African-American,0.2,0.3,0.25,20,1
race,Other,0.2,0.3,,0,1
race,Indian,0.2,0.3,,0,1
race,Asian,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.4,50,2
race,African-American,0.2,0.3,0.25,16,2
race,Asian,0.2,0.3,,0,2
race,Indian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.38095238095238093,21,3
race,Caucasian,0.2,0.3,0.24,25,3
race,Indian,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Asian,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.2894736842105263,38,4
race,African-American,0.2,0.3,0.35714285714285715,14,4
race,Asian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Indian,0.2,0.3,,0,4
race,Asian,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.46153846153846156,26,0
race,African-American,0.3,0.4,0.3333333333333333,9,0
race,Other,0.3,0.4,,0,0
race,Indian,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.3684210526315789,19,1
race,African-American,0.3,0.4,0.2222222222222222,9,1
race,Other,0.3,0.4,,0,1
race,Indian,0.3,0.4,,0,1
race,Asian,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,0.375,16,2
race,African-American,0.3,0.4,0.14285714285714285,7,2
race,Asian,0.3,0.4,,0,2
race,Indian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,African-American,0.3,0.4,0.8,5,3
race,Caucasian,0.3,0.4,0.2727272727272727,22,3
race,Indian,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Asian,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.2631578947368421,19,4
race,African-American,0.3,0.4,0.5,8,4
race,Asian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Indian,0.3,0.4,,0,4
race,Asian,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.625,8,0
race,African-American,0.4,0.5,0.7777777777777778,9,0
race,Other,0.4,0.5,,0,0
race,Indian,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.45454545454545453,11,1
race,African-American,0.4,0.5,0.3333333333333333,3,1
race,Other,0.4,0.5,,0,1
race,Indian,0.4,0.5,,0,1
race,Asian,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,0.7142857142857143,7,2
race,African-American,0.4,0.5,0.0,2,2
