Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.06470992104359767,5826,0
race,Caucasian,0.0,0.1,0.09724178838881886,26974,0
race,Other,0.0,0.1,0.026041666666666668,768,0
race,Caucasian,0.0,0.1,0.09671201393779887,26977,1
race,Other,0.0,0.1,0.017241379310344827,754,1
race,African-American,0.0,0.1,0.06392308989711587,5929,1
race,African-American,0.0,0.1,0.06705241660993873,5876,2
race,Caucasian,0.0,0.1,0.09105069910618255,26963,2
race,Other,0.0,0.1,0.02564102564102564,741,2
race,Caucasian,0.0,0.1,0.0971578908363286,26987,3
race,African-American,0.0,0.1,0.06782846403553733,5853,3
race,Other,0.0,0.1,0.022556390977443608,798,3
race,Caucasian,0.0,0.1,0.024390243902439025,41,4
race,Other,0.0,0.1,0.0,1,4
race,African-American,0.0,0.1,0.08333333333333333,12,4
race,African-American,0.1,0.2,0.23809523809523808,147,0
race,Caucasian,0.1,0.2,0.26605504587155965,981,0
race,Other,0.1,0.2,0.0,5,0
race,Caucasian,0.1,0.2,0.2876288659793814,970,1
race,Other,0.1,0.2,0.125,8,1
race,African-American,0.1,0.2,0.3221476510067114,149,1
race,African-American,0.1,0.2,0.23493975903614459,166,2
race,Caucasian,0.1,0.2,0.28450106157112526,942,2
race,Other,0.1,0.2,0.0,4,2
race,Caucasian,0.1,0.2,0.3097713097713098,962,3
race,African-American,0.1,0.2,0.2781065088757396,169,3
race,Other,0.1,0.2,1.0,3,3
race,Caucasian,0.1,0.2,0.037444933920704845,454,4
race,Other,0.1,0.2,0.0,9,4
race,African-American,0.1,0.2,0.05454545454545454,110,4
race,African-American,0.2,0.3,0.3829787234042553,47,0
race,Caucasian,0.2,0.3,0.2939297124600639,313,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.3356643356643357,286,1
race,Other,0.2,0.3,0.0,1,1
race,African-American,0.2,0.3,0.1836734693877551,49,1
race,African-American,0.2,0.3,0.2777777777777778,54,2
race,Caucasian,0.2,0.3,0.28807947019867547,302,2
race,Other,0.2,0.3,0.0,1,2
race,Caucasian,0.2,0.3,0.30526315789473685,285,3
race,African-American,0.2,0.3,0.16279069767441862,43,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.04405413187446012,3473,4
race,Other,0.2,0.3,0.0072992700729927005,137,4
race,African-American,0.2,0.3,0.0364963503649635,959,4
race,African-American,0.3,0.4,0.21428571428571427,14,0
race,Caucasian,0.3,0.4,0.4,120,0
race,Other,0.3,0.4,1.0,1,0
race,Caucasian,0.3,0.4,0.4175824175824176,91,1
race,Other,0.3,0.4,0.0,1,1
race,African-American,0.3,0.4,0.1,10,1
race,African-American,0.3,0.4,0.35714285714285715,14,2
race,Caucasian,0.3,0.4,0.4461538461538462,130,2
race,Other,0.3,0.4,0.0,1,2
race,Caucasian,0.3,0.4,0.37,100,3
race,African-American,0.3,0.4,0.4117647058823529,17,3
race,Other,0.3,0.4,0.0,1,3
race,Caucasian,0.3,0.4,0.05931080185553347,6036,4
race,Other,0.3,0.4,0.007692307692307693,260,4
race,African-American,0.3,0.4,0.045757071547420966,1202,4
race,African-American,0.4,0.5,0.16666666666666666,6,0
race,Caucasian,0.4,0.5,0.5,52,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.3953488372093023,43,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.6666666666666666,3,1
race,African-American,0.4,0.5,0.4,5,2
race,Caucasian,0.4,0.5,0.3387096774193548,62,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.4,35,3
race,African-American,0.4,0.5,0.3333333333333333,3,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.07459438068856351,5054,4
race,Other,0.4,0.5,0.009900990099009901,101,4
race,African-American,0.4,0.5,0.05988593155893536,1052,4
race,African-American,0.5,0.6,0.25,4,0
race,Caucasian,0.5,0.6,0.5714285714285714,21,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.4444444444444444,9,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.5,2,1
race,African-American,0.5,0.6,0.3333333333333333,3,2
race,Caucasian,0.5,0.6,0.42857142857142855,14,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.5652173913043478,23,3
race,African-American,0.5,0.6,0.0,1,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.10669693530079455,4405,4
race,Other,0.5,0.6,0.05357142857142857,112,4
race,African-American,0.5,0.6,0.07685738684884715,1171,4
race,African-American,0.6,0.7,1.0,1,0
race,Caucasian,0.6,0.7,0.375,8,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.2,5,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,0.0,1,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.2857142857142857,7,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.375,8,3
race,African-American,0.6,0.7,0.0,1,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.1313549014838239,4111,4
race,Other,0.6,0.7,0.06976744186046512,86,4
race,African-American,0.6,0.7,0.10828877005347594,748,4
race,African-American,0.7,0.8,1.0,1,0
race,Caucasian,0.7,0.8,0.25,4,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,0.5,2,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.3333333333333333,3,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,0.0,1,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.1847246891651865,2815,4
race,Other,0.7,0.8,0.0,32,4
race,African-American,0.7,0.8,0.12222222222222222,540,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,0.0,1,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,1.0,1,1
race,African-American,0.8,0.9,0.0,1,2
race,Caucasian,0.8,0.9,0.5,2,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,0.5,2,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,0.24927870744373917,1733,4
race,Other,0.8,0.9,0.0,15,4
race,African-American,0.8,0.9,0.21359223300970873,309,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,0.5,2,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,0.0,2,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,0.0,1,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,0.35793357933579334,271,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,0.22727272727272727,44,4
sex,male,0.0,0.1,0.0920956278268361,23215,0
sex,female,0.0,0.1,0.08519269776876268,10353,0
sex,male,0.0,0.1,0.09175142216859163,23204,1
sex,female,0.0,0.1,0.08339709257842387,10456,1
sex,male,0.0,0.1,0.0885640584694755,23260,2
sex,female,0.0,0.1,0.07829457364341086,10320,2
sex,male,0.0,0.1,0.0935439678054628,23358,3
sex,female,0.0,0.1,0.08287937743190661,10280,3
sex,female,0.0,0.1,0.0,20,4
sex,male,0.0,0.1,0.058823529411764705,34,4
sex,male,0.1,0.2,0.2673733804475854,849,0
sex,female,0.1,0.2,0.24295774647887325,284,0
sex,male,0.1,0.2,0.30490654205607476,856,1
sex,female,0.1,0.2,0.24723247232472326,271,1
sex,male,0.1,0.2,0.286425902864259,803,2
sex,female,0.1,0.2,0.24919093851132687,309,2
sex,male,0.1,0.2,0.3077844311377245,835,3
sex,female,0.1,0.2,0.30434782608695654,299,3
sex,female,0.1,0.2,0.03546099290780142,282,4
sex,male,0.1,0.2,0.044673539518900345,291,4
sex,male,0.2,0.3,0.31985294117647056,272,0
sex,female,0.2,0.3,0.26136363636363635,88,0
sex,male,0.2,0.3,0.30434782608695654,253,1
sex,female,0.2,0.3,0.3373493975903614,83,1
sex,male,0.2,0.3,0.3007518796992481,266,2
sex,female,0.2,0.3,0.24175824175824176,91,2
sex,male,0.2,0.3,0.26,250,3
sex,female,0.2,0.3,0.3717948717948718,78,3
sex,female,0.2,0.3,0.04279015240328253,1706,4
sex,male,0.2,0.3,0.040516940272441494,2863,4
sex,male,0.3,0.4,0.41,100,0
sex,female,0.3,0.4,0.3142857142857143,35,0
sex,male,0.3,0.4,0.4166666666666667,72,1
sex,female,0.3,0.4,0.3,30,1
sex,male,0.3,0.4,0.4351851851851852,108,2
sex,female,0.3,0.4,0.43243243243243246,37,2
sex,male,0.3,0.4,0.41379310344827586,87,3
sex,female,0.3,0.4,0.25806451612903225,31,3
sex,female,0.3,0.4,0.043968432919954906,2661,4
sex,male,0.3,0.4,0.06160843498035973,4837,4
sex,male,0.4,0.5,0.4666666666666667,45,0
sex,female,0.4,0.5,0.46153846153846156,13,0
sex,male,0.4,0.5,0.4722222222222222,36,1
sex,female,0.4,0.5,0.2,10,1
sex,male,0.4,0.5,0.3404255319148936,47,2
sex,female,0.4,0.5,0.35,20,2
sex,male,0.4,0.5,0.3448275862068966,29,3
sex,female,0.4,0.5,0.5555555555555556,9,3
sex,female,0.4,0.5,0.07926829268292683,1804,4
sex,male,0.4,0.5,0.06768112650465592,4403,4
sex,male,0.5,0.6,0.375,16,0
sex,female,0.5,0.6,0.7777777777777778,9,0
sex,male,0.5,0.6,0.4,10,1
sex,female,0.5,0.6,1.0,1,1
sex,male,0.5,0.6,0.25,12,2
sex,female,0.5,0.6,0.8,5,2
sex,male,0.5,0.6,0.5238095238095238,21,3
sex,female,0.5,0.6,0.6666666666666666,3,3
sex,female,0.5,0.6,0.10914051841746249,1466,4
sex,male,0.5,0.6,0.09616295594504974,4222,4
sex,male,0.6,0.7,0.375,8,0
sex,female,0.6,0.7,1.0,1,0
sex,male,0.6,0.7,0.16666666666666666,6,1
sex,female,0.6,0.7,,0,1
sex,male,0.6,0.7,0.3333333333333333,6,2
sex,female,0.6,0.7,0.0,1,2
sex,male,0.6,0.7,0.4,5,3
sex,female,0.6,0.7,0.25,4,3
sex,female,0.6,0.7,0.1213832039520113,1417,4
sex,male,0.6,0.7,0.12896825396825398,3528,4
sex,male,0.7,0.8,0.3333333333333333,3,0
sex,female,0.7,0.8,0.5,2,0
sex,male,0.7,0.8,0.5,2,1
sex,female,0.7,0.8,,0,1
sex,male,0.7,0.8,0.3333333333333333,3,2
sex,female,0.7,0.8,,0,2
sex,male,0.7,0.8,0.0,1,3
sex,female,0.7,0.8,,0,3
sex,female,0.7,0.8,0.17261219792865362,869,4
sex,male,0.7,0.8,0.17315329626687848,2518,4
sex,male,0.8,0.9,0.0,1,0
sex,female,0.8,0.9,,0,0
sex,male,0.8,0.9,1.0,1,1
sex,female,0.8,0.9,,0,1
sex,male,0.8,0.9,0.5,2,2
sex,female,0.8,0.9,0.0,1,2
sex,male,0.8,0.9,0.5,2,3
sex,female,0.8,0.9,,0,3
sex,female,0.8,0.9,0.23722627737226276,548,4
sex,male,0.8,0.9,0.243870112657389,1509,4
sex,male,0.9,1.0,,0,0
sex,female,0.9,1.0,,0,0
sex,male,0.9,1.0,0.5,2,1
sex,female,0.9,1.0,,0,1
sex,male,0.9,1.0,0.0,1,2
sex,female,0.9,1.0,0.0,1,2
sex,male,0.9,1.0,0.0,1,3
sex,female,0.9,1.0,,0,3
sex,female,0.9,1.0,0.36904761904761907,84,4
sex,male,0.9,1.0,0.329004329004329,231,4
