Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.0,1,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,0.02268760907504363,573,0
race,Other,0.4,0.5,0.0,53,0
race,African-American,0.4,0.5,0.00980392156862745,102,0
race,Caucasian,0.4,0.5,0.0171606864274571,641,1
race,African-American,0.4,0.5,0.014285714285714285,140,1
race,Other,0.4,0.5,0.0,49,1
race,Caucasian,0.4,0.5,0.025503355704697986,745,2
race,African-American,0.4,0.5,0.02,150,2
race,Other,0.4,0.5,0.0,48,2
race,Caucasian,0.4,0.5,0.01773049645390071,564,3
race,African-American,0.4,0.5,0.0,116,3
race,Other,0.4,0.5,0.0,35,3
race,Caucasian,0.4,0.5,0.023564064801178203,679,4
race,African-American,0.4,0.5,0.01020408163265306,98,4
race,Other,0.4,0.5,0.021739130434782608,46,4
race,Caucasian,0.5,0.6,0.046701913393756296,7944,0
race,Other,0.5,0.6,0.0110803324099723,361,0
race,African-American,0.5,0.6,0.027731558513588463,1803,0
race,Caucasian,0.5,0.6,0.046946462200699486,7434,1
race,African-American,0.5,0.6,0.03233256351039261,1732,1
race,Other,0.5,0.6,0.002898550724637681,345,1
race,Caucasian,0.5,0.6,0.046508379888268156,7160,2
race,African-American,0.5,0.6,0.02619047619047619,1680,2
race,Other,0.5,0.6,0.0031746031746031746,315,2
race,Caucasian,0.5,0.6,0.044619746086527794,8113,3
race,African-American,0.5,0.6,0.0263013698630137,1825,3
race,Other,0.5,0.6,0.010723860589812333,373,3
race,Caucasian,0.5,0.6,0.04581318401628913,7858,4
race,African-American,0.5,0.6,0.030691964285714284,1792,4
race,Other,0.5,0.6,0.002932551319648094,341,4
race,Caucasian,0.6,0.7,0.07078622816032888,7784,0
race,Other,0.6,0.7,0.03684210526315789,190,0
race,African-American,0.6,0.7,0.0514216575922565,1653,0
race,Caucasian,0.6,0.7,0.07028753993610223,7825,1
race,African-American,0.6,0.7,0.05032563647128478,1689,1
race,Other,0.6,0.7,0.03255813953488372,215,1
race,Caucasian,0.6,0.7,0.07365684575389948,8078,2
race,African-American,0.6,0.7,0.04692931633835458,1726,2
race,Other,0.6,0.7,0.03225806451612903,248,2
race,Caucasian,0.6,0.7,0.07059886422302529,7748,3
race,African-American,0.6,0.7,0.04909090909090909,1650,3
