Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.05203816131830009,2306,0
race,Caucasian,0.0,0.1,0.05271626695272393,13051,0
race,Other,0.0,0.1,0.029213483146067417,445,0
race,Caucasian,0.0,0.1,0.05903673241792709,14347,1
race,Other,0.0,0.1,0.018223234624145785,439,1
race,African-American,0.0,0.1,0.04540379605508001,2687,1
race,African-American,0.0,0.1,0.048752834467120185,2646,2
race,Caucasian,0.0,0.1,0.053570198994698066,14523,2
race,Other,0.0,0.1,0.01948051948051948,462,2
race,Caucasian,0.0,0.1,0.05080213903743316,13090,3
race,African-American,0.0,0.1,0.051794453507340944,2452,3
race,Other,0.0,0.1,0.014925373134328358,402,3
race,Caucasian,0.0,0.1,0.055211455211455214,15015,4
race,Other,0.0,0.1,0.032520325203252036,492,4
race,African-American,0.0,0.1,0.05706031058143734,2769,4
race,African-American,0.1,0.2,0.1253507951356408,2138,0
race,Caucasian,0.1,0.2,0.1346153846153846,8736,0
race,Other,0.1,0.2,0.07575757575757576,264,0
race,Caucasian,0.1,0.2,0.1455463101896058,7331,1
race,Other,0.1,0.2,0.08713692946058091,241,1
race,African-American,0.1,0.2,0.13450292397660818,1881,1
race,African-American,0.1,0.2,0.13217768147345613,1846,2
race,Caucasian,0.1,0.2,0.147662247034194,7165,2
race,Other,0.1,0.2,0.06060606060606061,231,2
race,Caucasian,0.1,0.2,0.12795446108154931,8081,3
race,African-American,0.1,0.2,0.1289825282631038,1946,3
race,Other,0.1,0.2,0.045454545454545456,308,3
race,Caucasian,0.1,0.2,0.15113080684596578,6544,4
race,Other,0.1,0.2,0.10160427807486631,187,4
race,African-American,0.1,0.2,0.14194299011052938,1719,4
race,African-American,0.2,0.3,0.21085858585858586,792,0
race,Caucasian,0.2,0.3,0.24964049467932126,3477,0
race,Other,0.2,0.3,0.06666666666666667,45,0
race,Caucasian,0.2,0.3,0.24646056053163826,3461,1
race,Other,0.2,0.3,0.23076923076923078,52,1
race,African-American,0.2,0.3,0.24025157232704403,795,1
race,African-American,0.2,0.3,0.24232456140350878,912,2
race,Caucasian,0.2,0.3,0.24867429528328217,3583,2
race,Other,0.2,0.3,0.14285714285714285,35,2
race,Caucasian,0.2,0.3,0.23530961791831356,3795,3
race,African-American,0.2,0.3,0.24970828471411902,857,3
race,Other,0.2,0.3,0.047619047619047616,63,3
race,Caucasian,0.2,0.3,0.24532104808522892,3473,4
race,Other,0.2,0.3,0.11363636363636363,44,4
race,African-American,0.2,0.3,0.24033816425120774,828,4
race,African-American,0.3,0.4,0.2972972972972973,481,0
race,Caucasian,0.3,0.4,0.34392334846192635,1983,0
race,Other,0.3,0.4,0.0,14,0
race,Caucasian,0.3,0.4,0.3619047619047619,1785,1
race,Other,0.3,0.4,0.17391304347826086,23,1
race,African-American,0.3,0.4,0.32625994694960214,377,1
race,African-American,0.3,0.4,0.3757062146892655,354,2
race,Caucasian,0.3,0.4,0.3287671232876712,1606,2
race,Other,0.3,0.4,0.1111111111111111,9,2
race,Caucasian,0.3,0.4,0.3478847884788479,2222,3
race,African-American,0.3,0.4,0.3642611683848797,582,3
race,Other,0.3,0.4,0.36,25,3
