Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.07977991746905089,5089,0
race,African-American,0.0,0.1,0.08967674661105318,959,0
race,Other,0.0,0.1,0.0,73,0
race,Indian,0.0,0.1,0.0,9,0
race,Asian,0.0,0.1,0.0,23,0
race,Caucasian,0.0,0.1,0.07936821322803554,5065,1
race,Asian,0.0,0.1,0.0,29,1
race,African-American,0.0,0.1,0.0715648854961832,1048,1
race,Other,0.0,0.1,0.03389830508474576,59,1
race,Indian,0.0,0.1,0.0,8,1
race,Caucasian,0.0,0.1,0.08586830958798614,5194,2
race,African-American,0.0,0.1,0.07870837537840565,991,2
race,Other,0.0,0.1,0.0,75,2
race,Indian,0.0,0.1,0.0,9,2
race,Asian,0.0,0.1,0.0,16,2
race,Caucasian,0.0,0.1,0.07863872332243799,5201,3
race,African-American,0.0,0.1,0.07760314341846758,1018,3
race,Other,0.0,0.1,0.0,85,3
race,Asian,0.0,0.1,0.045454545454545456,22,3
race,Indian,0.0,0.1,0.0,12,3
race,Caucasian,0.0,0.1,0.07837731390311146,5078,4
race,African-American,0.0,0.1,0.08639523336643495,1007,4
race,Other,0.0,0.1,0.0,81,4
race,Asian,0.0,0.1,0.0,16,4
race,Indian,0.0,0.1,0.0,4,4
race,Caucasian,0.1,0.2,0.15755366545159985,4938,0
race,African-American,0.1,0.2,0.1288782816229117,1257,0
race,Other,0.1,0.2,0.10227272727272728,176,0
race,Indian,0.1,0.2,0.0,2,0
race,Asian,0.1,0.2,0.14285714285714285,14,0
race,Caucasian,0.1,0.2,0.15550978372811536,4855,1
race,Asian,0.1,0.2,0.043478260869565216,23,1
race,African-American,0.1,0.2,0.1546644844517185,1222,1
race,Other,0.1,0.2,0.0851063829787234,188,1
race,Indian,0.1,0.2,0.0,5,1
race,Caucasian,0.1,0.2,0.1552220394736842,4864,2
race,African-American,0.1,0.2,0.1425,1200,2
race,Other,0.1,0.2,0.11224489795918367,196,2
race,Indian,0.1,0.2,0.0,5,2
race,Asian,0.1,0.2,0.0,14,2
race,Caucasian,0.1,0.2,0.1585672392124005,4774,3
race,African-American,0.1,0.2,0.16709511568123395,1167,3
race,Other,0.1,0.2,0.065,200,3
race,Asian,0.1,0.2,0.125,16,3
race,Indian,0.1,0.2,0.16666666666666666,6,3
race,Caucasian,0.1,0.2,0.1593429158110883,4870,4
race,African-American,0.1,0.2,0.15339966832504145,1206,4
race,Other,0.1,0.2,0.06707317073170732,164,4
race,Asian,0.1,0.2,0.15384615384615385,13,4
race,Indian,0.1,0.2,0.0,5,4
