Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.08411214953271028,214,0
race,Caucasian,0.0,0.1,0.08982545764154959,2349,0
race,Other,0.0,0.1,0.05263157894736842,57,0
race,Caucasian,0.0,0.1,0.0943082675529705,2407,1
race,Other,0.0,0.1,0.015873015873015872,63,1
race,African-American,0.0,0.1,0.09411764705882353,255,1
race,African-American,0.0,0.1,0.09309309309309309,333,2
race,Caucasian,0.0,0.1,0.0979498861047836,3073,2
race,Other,0.0,0.1,0.04878048780487805,82,2
race,Caucasian,0.0,0.1,0.08255766895993524,2471,3
race,African-American,0.0,0.1,0.125,256,3
race,Other,0.0,0.1,0.05555555555555555,72,3
race,Caucasian,0.0,0.1,0.0660377358490566,1272,4
race,Other,0.0,0.1,0.058823529411764705,34,4
race,African-American,0.0,0.1,0.1111111111111111,117,4
race,African-American,0.1,0.2,0.15985130111524162,1614,0
race,Caucasian,0.1,0.2,0.1567666172614297,8771,0
race,Other,0.1,0.2,0.0696969696969697,330,0
race,Caucasian,0.1,0.2,0.1573506021358782,8802,1
race,Other,0.1,0.2,0.057057057057057055,333,1
race,African-American,0.1,0.2,0.14833906071019473,1746,1
race,African-American,0.1,0.2,0.16422660725652452,1571,2
race,Caucasian,0.1,0.2,0.1473319301720936,8077,2
race,Other,0.1,0.2,0.0711743772241993,281,2
race,Caucasian,0.1,0.2,0.1521021351529826,9086,3
race,African-American,0.1,0.2,0.14937286202964653,1754,3
race,Other,0.1,0.2,0.09536082474226804,388,3
race,Caucasian,0.1,0.2,0.14539969834087482,9945,4
race,Other,0.1,0.2,0.0898876404494382,356,4
race,African-American,0.1,0.2,0.158157602663707,1802,4
race,African-American,0.2,0.3,0.2149321266968326,1768,0
race,Caucasian,0.2,0.3,0.24568412041660723,7009,0
race,Other,0.2,0.3,0.16376306620209058,287,0
race,Caucasian,0.2,0.3,0.25272917601315986,6687,1
race,Other,0.2,0.3,0.08898305084745763,236,1
race,African-American,0.2,0.3,0.231044776119403,1675,1
race,African-American,0.2,0.3,0.2238888888888889,1800,2
race,Caucasian,0.2,0.3,0.25359385903698534,7165,2
race,Other,0.2,0.3,0.11702127659574468,282,2
race,Caucasian,0.2,0.3,0.2575083426028921,7192,3
race,African-American,0.2,0.3,0.23157315731573158,1818,3
race,Other,0.2,0.3,0.13733905579399142,233,3
race,Caucasian,0.2,0.3,0.2608586176507617,7943,4
race,Other,0.2,0.3,0.1678832116788321,274,4
race,African-American,0.2,0.3,0.2542537676227516,2057,4
race,African-American,0.3,0.4,0.3498452012383901,969,0
race,Caucasian,0.3,0.4,0.3668915412558381,3854,0
race,Other,0.3,0.4,0.14545454545454545,55,0
race,Caucasian,0.3,0.4,0.3514552443712246,3642,1
race,Other,0.3,0.4,0.2898550724637681,69,1
race,African-American,0.3,0.4,0.3344226579520697,918,1
race,African-American,0.3,0.4,0.3480861244019139,836,2
race,Caucasian,0.3,0.4,0.36909602752580545,3197,2
race,Other,0.3,0.4,0.15217391304347827,46,2
race,Caucasian,0.3,0.4,0.36965414652287093,2689,3
race,African-American,0.3,0.4,0.35062893081761004,636,3
race,Other,0.3,0.4,0.15217391304347827,46,3
race,Caucasian,0.3,0.4,0.38749570594297494,2911,4
race,Other,0.3,0.4,0.34375,32,4
race,African-American,0.3,0.4,0.3734265734265734,715,4
race,African-American,0.4,0.5,0.41745283018867924,424,0
race,Caucasian,0.4,0.5,0.44591346153846156,1664,0
race,Other,0.4,0.5,0.5263157894736842,19,0
race,Caucasian,0.4,0.5,0.4642255892255892,2376,1
race,Other,0.4,0.5,0.34615384615384615,26,1
race,African-American,0.4,0.5,0.4720720720720721,555,1
race,African-American,0.4,0.5,0.4703125,640,2
race,Caucasian,0.4,0.5,0.4528301886792453,2756,2
race,Other,0.4,0.5,0.2727272727272727,33,2
race,Caucasian,0.4,0.5,0.45881805490926014,2149,3
race,African-American,0.4,0.5,0.47689463955637706,541,3
race,Other,0.4,0.5,0.23333333333333334,30,3
race,Caucasian,0.4,0.5,0.46746268656716417,1675,4
race,Other,0.4,0.5,0.21739130434782608,23,4
race,African-American,0.4,0.5,0.44642857142857145,392,4
race,African-American,0.5,0.6,0.5325670498084292,522,0
race,Caucasian,0.5,0.6,0.544517724649629,2426,0
race,Other,0.5,0.6,0.5454545454545454,11,0
race,Caucasian,0.5,0.6,0.5598536330371144,1913,1
race,Other,0.5,0.6,0.45,20,1
race,African-American,0.5,0.6,0.5828729281767956,362,1
race,African-American,0.5,0.6,0.545,400,2
race,Caucasian,0.5,0.6,0.5534441805225653,1684,2
race,Other,0.5,0.6,0.5,8,2
race,Caucasian,0.5,0.6,0.5396825396825397,2142,3
race,African-American,0.5,0.6,0.5530612244897959,490,3
race,Other,0.5,0.6,0.21052631578947367,19,3
race,Caucasian,0.5,0.6,0.567193675889328,2024,4
race,Other,0.5,0.6,0.38461538461538464,13,4
race,African-American,0.5,0.6,0.5206073752711496,461,4
race,African-American,0.6,0.7,0.6538461538461539,260,0
race,Caucasian,0.6,0.7,0.6465155331654072,1191,0
race,Other,0.6,0.7,0.375,8,0
race,Caucasian,0.6,0.7,0.6124497991967871,996,1
race,Other,0.6,0.7,0.375,8,1
race,African-American,0.6,0.7,0.6398601398601399,286,1
race,African-American,0.6,0.7,0.6853448275862069,232,2
race,Caucasian,0.6,0.7,0.6429268292682927,1025,2
race,Other,0.6,0.7,0.2,5,2
race,Caucasian,0.6,0.7,0.6515463917525773,1455,3
race,African-American,0.6,0.7,0.6130030959752322,323,3
race,Other,0.6,0.7,0.45454545454545453,11,3
race,Caucasian,0.6,0.7,0.6118769883351007,943,4
race,Other,0.6,0.7,0.3333333333333333,6,4
race,African-American,0.6,0.7,0.6060606060606061,264,4
race,African-American,0.7,0.8,0.7616279069767442,172,0
race,Caucasian,0.7,0.8,0.7258064516129032,682,0
race,Other,0.7,0.8,0.3333333333333333,3,0
race,Caucasian,0.7,0.8,0.7323671497584541,1035,1
race,Other,0.7,0.8,0.8333333333333334,6,1
race,African-American,0.7,0.8,0.7444933920704846,227,1
race,African-American,0.7,0.8,0.7579908675799086,219,2
race,Caucasian,0.7,0.8,0.7136797454931071,943,2
race,Other,0.7,0.8,1.0,7,2
race,Caucasian,0.7,0.8,0.7133333333333334,450,3
race,African-American,0.7,0.8,0.7350427350427351,117,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.6902815622161671,1101,4
race,Other,0.7,0.8,0.46153846153846156,13,4
race,African-American,0.7,0.8,0.7341772151898734,237,4
race,African-American,0.8,0.9,0.8181818181818182,77,0
race,Caucasian,0.8,0.9,0.8333333333333334,450,0
race,Other,0.8,0.9,1.0,3,0
