Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,0.15383990907614872,12318,0
race,Other,0.1,0.2,0.09411764705882353,510,0
race,African-American,0.1,0.2,0.16953762466001812,2206,0
race,Caucasian,0.1,0.2,0.1519291273389634,12078,1
race,African-American,0.1,0.2,0.16112881201638599,2197,1
race,Other,0.1,0.2,0.07692307692307693,494,1
race,Caucasian,0.1,0.2,0.1525960496708059,11999,2
race,African-American,0.1,0.2,0.17126073203795752,2213,2
race,Other,0.1,0.2,0.09710743801652892,484,2
race,Caucasian,0.1,0.2,0.14668935894318827,12339,3
race,African-American,0.1,0.2,0.16944444444444445,2160,3
race,Other,0.1,0.2,0.07865168539325842,534,3
race,Caucasian,0.1,0.2,0.1520051746442432,12368,4
race,African-American,0.1,0.2,0.1694997571636717,2059,4
race,Other,0.1,0.2,0.08835341365461848,498,4
race,Caucasian,0.2,0.3,0.25988850544199626,7534,0
race,Other,0.2,0.3,0.1695906432748538,171,0
race,African-American,0.2,0.3,0.23727034120734908,1905,0
race,Caucasian,0.2,0.3,0.267389579476329,7562,1
race,African-American,0.2,0.3,0.23868954758190328,1923,1
race,Other,0.2,0.3,0.14035087719298245,171,1
race,Caucasian,0.2,0.3,0.26994609164420486,7420,2
race,African-American,0.2,0.3,0.2520964360587002,1908,2
race,Other,0.2,0.3,0.14563106796116504,206,2
race,Caucasian,0.2,0.3,0.26515255164865237,7309,3
race,African-American,0.2,0.3,0.2587991718426501,1932,3
race,Other,0.2,0.3,0.09844559585492228,193,3
race,Caucasian,0.2,0.3,0.26550100874243443,7435,4
race,African-American,0.2,0.3,0.23759791122715404,1915,4
race,Other,0.2,0.3,0.18072289156626506,166,4
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,0.4301969365426696,4570,0
race,Other,0.5,0.6,0.2542372881355932,59,0
race,African-American,0.5,0.6,0.4158607350096712,1034,0
race,Caucasian,0.5,0.6,0.43939729669842675,4513,1
race,African-American,0.5,0.6,0.44612644701691895,1123,1
race,Other,0.5,0.6,0.2631578947368421,57,1
race,Caucasian,0.5,0.6,0.4406672297297297,4736,2
race,African-American,0.5,0.6,0.4088050314465409,1113,2
race,Other,0.5,0.6,0.40350877192982454,57,2
race,Caucasian,0.5,0.6,0.45941807044410415,4571,3
race,African-American,0.5,0.6,0.42315175097276264,1028,3
race,Other,0.5,0.6,0.2,50,3
race,Caucasian,0.5,0.6,0.44632272228320524,4555,4
race,African-American,0.5,0.6,0.4419237749546279,1102,4
race,Other,0.5,0.6,0.23636363636363636,55,4
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,2
