Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,0.08493696084936961,1507,0
race,Other,0.4,0.5,0.030303030303030304,66,0
race,African-American,0.4,0.5,0.08139534883720931,172,0
race,Caucasian,0.4,0.5,0.07207207207207207,1110,1
race,African-American,0.4,0.5,0.08333333333333333,108,1
race,Other,0.4,0.5,0.05555555555555555,36,1
race,Caucasian,0.4,0.5,0.08138839018551765,1671,2
race,African-American,0.4,0.5,0.0825242718446602,206,2
race,Other,0.4,0.5,0.02,50,2
race,Caucasian,0.4,0.5,0.0858250276854928,1806,3
race,African-American,0.4,0.5,0.08620689655172414,174,3
race,Other,0.4,0.5,0.01694915254237288,59,3
race,Caucasian,0.4,0.5,0.08919382504288165,1749,4
race,African-American,0.4,0.5,0.11920529801324503,151,4
race,Other,0.4,0.5,0.08064516129032258,62,4
race,Caucasian,0.5,0.6,0.13485254691689008,7460,0
race,Other,0.5,0.6,0.08363636363636363,275,0
race,African-American,0.5,0.6,0.12542662116040956,1172,0
race,Caucasian,0.5,0.6,0.13144436765722184,7235,1
race,African-American,0.5,0.6,0.12740604949587533,1091,1
race,Other,0.5,0.6,0.06159420289855073,276,1
race,Caucasian,0.5,0.6,0.1343895883434715,7069,2
race,African-American,0.5,0.6,0.13675213675213677,1170,2
race,Other,0.5,0.6,0.06593406593406594,273,2
race,Caucasian,0.5,0.6,0.13200999444752914,7204,3
race,African-American,0.5,0.6,0.12511013215859032,1135,3
race,Other,0.5,0.6,0.07291666666666667,288,3
race,Caucasian,0.5,0.6,0.13706484641638225,7325,4
race,African-American,0.5,0.6,0.12663755458515283,1145,4
race,Other,0.5,0.6,0.0648854961832061,262,4
race,Caucasian,0.6,0.7,0.21347318658590633,6769,0
race,Other,0.6,0.7,0.1469387755102041,245,0
race,African-American,0.6,0.7,0.21335697399527187,1692,0
race,Caucasian,0.6,0.7,0.21327433628318584,6780,1
race,African-American,0.6,0.7,0.18920487521764365,1723,1
race,Other,0.6,0.7,0.09836065573770492,244,1
race,Caucasian,0.6,0.7,0.23029389600602865,6635,2
race,African-American,0.6,0.7,0.20433996383363473,1659,2
race,Other,0.6,0.7,0.15384615384615385,260,2
race,Caucasian,0.6,0.7,0.21019786910197868,6570,3
