Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Indian,0.0,0.1,,0,0
race,Asian,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Asian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Indian,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Indian,0.0,0.1,,0,2
race,Asian,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Asian,0.0,0.1,,0,3
race,Indian,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Asian,0.0,0.1,,0,4
race,Indian,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,,0,0
race,African-American,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Indian,0.1,0.2,,0,0
race,Asian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Asian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Indian,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Indian,0.1,0.2,,0,2
race,Asian,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Asian,0.1,0.2,,0,3
race,Indian,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,Asian,0.1,0.2,,0,4
race,Indian,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,,0,0
race,African-American,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Indian,0.2,0.3,,0,0
race,Asian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Asian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Indian,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Indian,0.2,0.3,,0,2
race,Asian,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Asian,0.2,0.3,,0,3
race,Indian,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Asian,0.2,0.3,,0,4
race,Indian,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,0.10720720720720721,1110,0
race,African-American,0.3,0.4,0.09152542372881356,295,0
race,Other,0.3,0.4,0.02040816326530612,98,0
race,Indian,0.3,0.4,0.0,1,0
race,Asian,0.3,0.4,0.0,1,0
race,Caucasian,0.3,0.4,0.13378130726939524,1637,1
race,Asian,0.3,0.4,0.0,11,1
race,African-American,0.3,0.4,0.09113300492610837,406,1
race,Other,0.3,0.4,0.037037037037037035,135,1
race,Indian,0.3,0.4,0.0,1,1
race,Caucasian,0.3,0.4,0.12354521038495972,1117,2
race,African-American,0.3,0.4,0.08870967741935484,248,2
race,Other,0.3,0.4,0.03389830508474576,118,2
race,Indian,0.3,0.4,0.0,1,2
race,Asian,0.3,0.4,0.0,4,2
race,Caucasian,0.3,0.4,0.09807692307692308,520,3
race,African-American,0.3,0.4,0.09,100,3
race,Other,0.3,0.4,0.01694915254237288,59,3
race,Asian,0.3,0.4,0.0,1,3
race,Indian,0.3,0.4,0.0,1,3
race,Caucasian,0.3,0.4,0.1185682326621924,894,4
race,African-American,0.3,0.4,0.07602339181286549,171,4
race,Other,0.3,0.4,0.05,80,4
race,Asian,0.3,0.4,0.0,2,4
race,Indian,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,0.15747028862478776,7068,0
race,African-American,0.4,0.5,0.14960106382978725,1504,0
race,Other,0.4,0.5,0.044585987261146494,157,0
