Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.01451231859601755,5926,0
race,Caucasian,0.0,0.1,0.01572495622029234,27981,0
race,Other,0.0,0.1,0.0013123359580052493,762,0
race,Caucasian,0.0,0.1,0.015713004484304932,27875,1
race,Other,0.0,0.1,0.0026666666666666666,750,1
race,African-American,0.0,0.1,0.018293696989855314,6013,1
race,African-American,0.0,0.1,0.01662510390689942,6015,2
race,Caucasian,0.0,0.1,0.016021170832886313,27963,2
race,Other,0.0,0.1,0.0013531799729364006,739,2
race,Caucasian,0.0,0.1,0.015707932864725292,27884,3
race,African-American,0.0,0.1,0.015711181681430722,5983,3
race,Other,0.0,0.1,0.0,794,3
race,Caucasian,0.0,0.1,0.015779304422498926,27948,4
race,Other,0.0,0.1,0.010752688172043012,744,4
race,African-American,0.0,0.1,0.017642209398186316,6065,4
race,African-American,0.1,0.2,0.14736842105263157,95,0
race,Caucasian,0.1,0.2,0.1662269129287599,379,0
race,Other,0.1,0.2,0.0,11,0
race,Caucasian,0.1,0.2,0.18995633187772926,458,1
race,Other,0.1,0.2,0.07692307692307693,13,1
race,African-American,0.1,0.2,0.17054263565891473,129,1
race,African-American,0.1,0.2,0.14606741573033707,89,2
race,Caucasian,0.1,0.2,0.136,375,2
race,Other,0.1,0.2,0.14285714285714285,7,2
race,Caucasian,0.1,0.2,0.1625,320,3
race,African-American,0.1,0.2,0.1375,80,3
race,Other,0.1,0.2,0.0,8,3
race,Caucasian,0.1,0.2,0.16071428571428573,224,4
race,Other,0.1,0.2,0.125,8,4
race,African-American,0.1,0.2,0.18604651162790697,43,4
race,African-American,0.2,0.3,0.1111111111111111,18,0
race,Caucasian,0.2,0.3,0.17777777777777778,90,0
race,Other,0.2,0.3,0.0,1,0
race,Caucasian,0.2,0.3,0.1875,16,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.3333333333333333,9,2
race,Caucasian,0.2,0.3,0.14516129032258066,62,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.21808510638297873,188,3
race,African-American,0.2,0.3,0.2916666666666667,24,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.13612565445026178,191,4
race,Other,0.2,0.3,0.0,1,4
race,African-American,0.2,0.3,0.21875,32,4
race,African-American,0.3,0.4,0.25,4,0
race,Caucasian,0.3,0.4,0.2,5,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.22727272727272727,22,1
race,Other,0.3,0.4,0.0,1,1
race,African-American,0.3,0.4,0.0,3,1
race,African-American,0.3,0.4,0.0,1,2
race,Caucasian,0.3,0.4,0.0,8,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.17647058823529413,17,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,0.0,3,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.16666666666666666,6,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.25,4,2
race,Caucasian,0.4,0.5,0.5555555555555556,9,2
race,Other,0.4,0.5,1.0,1,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,African-American,0.5,0.6,1.0,2,0
race,Caucasian,0.5,0.6,0.42857142857142855,7,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.1,10,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,1.0,1,1
race,African-American,0.5,0.6,0.0,1,2
race,Caucasian,0.5,0.6,0.0,3,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.0,7,3
race,African-American,0.5,0.6,0.0,2,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.0,3,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,0.0,3,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.0,3,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.0,1,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.25,4,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,0.0,1,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,0.0,1,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.0,1,2
race,Other,0.7,0.8,,0,2
